onset	duration	sample	type	value	event
4.827	0	4828	STI101	5632	---
7.418	0	7419	STI101	1	Movie onset
7.418	0	7419	STI001	5	---
7.418	0	7419	Trigger	1	Movie onset
13.162	0	13163	STI101	5888	---
18.719	0	18720	STI101	1	Movie onset
18.719	0	18720	STI001	5	---
18.719	0	18720	Trigger	1	Movie onset
24.214	0	24215	STI101	5888	---
29.678	0	29679	STI101	1	Movie onset
29.678	0	29679	STI001	5	---
29.678	0	29679	Trigger	1	Movie onset
35.179	0	35180	STI101	5888	---
40.796	0	40797	STI101	1	Movie onset
40.796	0	40797	STI001	5	---
40.796	0	40797	Trigger	1	Movie onset
46.664	0	46665	STI101	6144	---
52.297	0	52298	STI101	1	Movie onset
52.297	0	52298	STI001	5	---
52.297	0	52298	Trigger	1	Movie onset
58.318	0	58319	STI101	5888	---
63.924	0	63925	STI101	1	Movie onset
63.924	0	63925	STI001	5	---
63.924	0	63925	Trigger	1	Movie onset
69.986	0	69987	STI101	5888	---
75.442	0	75443	STI101	1	Movie onset
75.442	0	75443	STI001	5	---
75.442	0	75443	Trigger	1	Movie onset
81.214	0	81215	STI101	5888	---
86.743	0	86744	STI101	1	Movie onset
86.743	0	86744	STI001	5	---
86.743	0	86744	Trigger	1	Movie onset
92.306	0	92307	STI101	5888	---
97.969	0	97970	STI101	1	Movie onset
97.969	0	97970	STI001	5	---
97.969	0	97970	Trigger	1	Movie onset
103.392	0	103393	STI101	5888	---
108.787	0	108788	STI101	1	Movie onset
108.787	0	108788	STI001	5	---
108.787	0	108788	Trigger	1	Movie onset
114.214	0	114215	STI101	5888	---
119.804	0	119805	STI101	1	Movie onset
119.804	0	119805	STI001	5	---
119.804	0	119805	Trigger	1	Movie onset
125.259	0	125260	STI101	5888	---
130.763	0	130764	STI101	1	Movie onset
130.763	0	130764	STI001	5	---
130.763	0	130764	Trigger	1	Movie onset
136.946	0	136947	STI101	5888	---
142.432	0	142433	STI101	1	Movie onset
142.432	0	142433	STI001	5	---
142.432	0	142433	Trigger	1	Movie onset
148.556	0	148557	STI101	5888	---
154	0	154001	STI101	1	Movie onset
154	0	154001	STI001	5	---
154	0	154001	Trigger	1	Movie onset
159.795	0	159796	STI101	5888	---
165.267	0	165268	STI101	1	Movie onset
165.267	0	165268	STI001	5	---
165.267	0	165268	Trigger	1	Movie onset
170.802	0	170803	STI101	5888	---
176.419	0	176420	STI101	1	Movie onset
176.419	0	176420	STI001	5	---
176.419	0	176420	Trigger	1	Movie onset
181.979	0	181980	STI101	5888	---
187.469	0	187470	STI101	1	Movie onset
187.469	0	187470	STI001	5	---
187.469	0	187470	Trigger	1	Movie onset
192.962	0	192963	STI101	6144	---
198.604	0	198605	STI101	1	Movie onset
198.604	0	198605	STI001	5	---
198.604	0	198605	Trigger	1	Movie onset
204.087	0	204088	STI101	5888	---
209.521	0	209522	STI101	1	Movie onset
209.521	0	209522	STI001	5	---
209.521	0	209522	Trigger	1	Movie onset
215.061	0	215062	STI101	5888	---
220.606	0	220607	STI101	1	Movie onset
220.606	0	220607	STI001	5	---
220.606	0	220607	Trigger	1	Movie onset
226.023	0	226024	STI101	5888	---
