onset	duration	sample	type	value	event
1.683	0	1684	STI101	5632	---
12.097	0	12098	STI101	5632	---
21.487	0	21488	STI101	5632	---
24.021	0	24022	STI101	1	Movie onset
24.021	0	24022	STI001	5	---
24.021	0	24022	Trigger	1	Movie onset
29.941	0	29942	STI101	5888	---
35.547	0	35548	STI101	1	Movie onset
35.547	0	35548	STI001	5	---
35.547	0	35548	Trigger	1	Movie onset
40.996	0	40997	STI101	6144	---
46.482	0	46483	STI101	1	Movie onset
46.482	0	46483	STI001	5	---
46.482	0	46483	Trigger	1	Movie onset
51.945	0	51946	STI101	5888	---
57.357	0	57358	STI101	1	Movie onset
57.357	0	57358	STI001	5	---
57.357	0	57358	Trigger	1	Movie onset
62.703	0	62704	STI101	6144	---
68.116	0	68117	STI101	1	Movie onset
68.116	0	68117	STI001	5	---
68.116	0	68117	Trigger	1	Movie onset
73.977	0	73978	STI101	5888	---
79.501	0	79502	STI101	1	Movie onset
79.501	0	79502	STI001	5	---
79.501	0	79502	Trigger	1	Movie onset
85.028	0	85029	STI101	6144	---
90.46	0	90461	STI101	1	Movie onset
90.46	0	90461	STI001	5	---
90.46	0	90461	Trigger	1	Movie onset
95.934	0	95935	STI101	5888	---
101.386	0	101387	STI101	1	Movie onset
101.386	0	101387	STI001	5	---
101.386	0	101387	Trigger	1	Movie onset
106.959	0	106960	STI101	5888	---
112.345	0	112346	STI101	1	Movie onset
112.345	0	112346	STI001	5	---
112.345	0	112346	Trigger	1	Movie onset
117.785	0	117786	STI101	5888	---
123.321	0	123322	STI101	1	Movie onset
123.321	0	123322	STI001	5	---
123.321	0	123322	Trigger	1	Movie onset
128.653	0	128654	STI101	5888	---
133.997	0	133998	STI101	1	Movie onset
133.997	0	133998	STI001	5	---
133.997	0	133998	Trigger	1	Movie onset
139.382	0	139383	STI101	5888	---
144.906	0	144907	STI101	1	Movie onset
144.906	0	144907	STI001	5	---
144.906	0	144907	Trigger	1	Movie onset
150.315	0	150316	STI101	6144	---
155.707	0	155708	STI101	1	Movie onset
155.707	0	155708	STI001	5	---
155.707	0	155708	Trigger	1	Movie onset
161.125	0	161126	STI101	6144	---
166.608	0	166609	STI101	1	Movie onset
166.608	0	166609	STI001	5	---
166.608	0	166609	Trigger	1	Movie onset
171.918	0	171919	STI101	6144	---
177.367	0	177368	STI101	1	Movie onset
177.367	0	177368	STI001	5	---
177.367	0	177368	Trigger	1	Movie onset
182.624	0	182625	STI101	5888	---
188.143	0	188144	STI101	1	Movie onset
188.143	0	188144	STI001	5	---
188.143	0	188144	Trigger	1	Movie onset
193.444	0	193445	STI101	5888	---
198.902	0	198903	STI101	1	Movie onset
198.902	0	198903	STI001	5	---
198.902	0	198903	Trigger	1	Movie onset
204.358	0	204359	STI101	5888	---
209.919	0	209920	STI101	1	Movie onset
209.919	0	209920	STI001	5	---
209.919	0	209920	Trigger	1	Movie onset
215.542	0	215543	STI101	5888	---
220.854	0	220855	STI101	1	Movie onset
220.854	0	220855	STI001	5	---
220.854	0	220855	Trigger	1	Movie onset
226.196	0	226197	STI101	6144	---
231.721	0	231722	STI101	1	Movie onset
231.721	0	231722	STI001	5	---
231.721	0	231722	Trigger	1	Movie onset
237.107	0	237108	STI101	6144	---
242.622	0	242623	STI101	1	Movie onset
242.622	0	242623	STI001	5	---
242.622	0	242623	Trigger	1	Movie onset
249.158	0	249159	STI101	6144	---
254.615	0	254616	STI101	1	Movie onset
254.615	0	254616	STI001	5	---
254.615	0	254616	Trigger	1	Movie onset
260.025	0	260026	STI101	5888	---
265.483	0	265484	STI101	1	Movie onset
