onset	duration	sample	type	value	event
10.335	0	10336	STI101	5632	---
13.129	0	13130	STI101	1	Movie onset
13.129	0	13130	STI001	5	---
13.129	0	13130	Trigger	1	Movie onset
19.324	0	19325	STI101	5888	---
25.03	0	25031	STI101	1	Movie onset
25.03	0	25031	STI001	5	---
25.03	0	25031	Trigger	1	Movie onset
30.601	0	30602	STI101	5888	---
36.082	0	36083	STI101	1	Movie onset
36.082	0	36083	STI001	5	---
36.082	0	36083	Trigger	1	Movie onset
41.376	0	41377	STI101	5888	---
46.932	0	46933	STI101	1	Movie onset
46.932	0	46933	STI001	5	---
46.932	0	46933	Trigger	1	Movie onset
52.332	0	52333	STI101	5888	---
57.942	0	57943	STI101	1	Movie onset
57.942	0	57943	STI001	5	---
57.942	0	57943	Trigger	1	Movie onset
63.423	0	63424	STI101	5888	---
68.984	0	68985	STI101	1	Movie onset
68.984	0	68985	STI001	5	---
68.984	0	68985	Trigger	1	Movie onset
74.338	0	74339	STI101	5888	---
79.944	0	79945	STI101	1	Movie onset
79.944	0	79945	STI001	5	---
79.944	0	79945	Trigger	1	Movie onset
85.304	0	85305	STI101	5888	---
90.853	0	90854	STI101	1	Movie onset
90.853	0	90854	STI001	5	---
90.853	0	90854	Trigger	1	Movie onset
96.349	0	96350	STI101	5888	---
101.895	0	101896	STI101	1	Movie onset
101.895	0	101896	STI001	5	---
101.895	0	101896	Trigger	1	Movie onset
107.173	0	107174	STI101	5888	---
112.738	0	112739	STI101	1	Movie onset
112.738	0	112739	STI001	5	---
112.738	0	112739	Trigger	1	Movie onset
118.049	0	118050	STI101	5888	---
123.53	0	123531	STI101	1	Movie onset
123.53	0	123531	STI001	5	---
123.53	0	123531	Trigger	1	Movie onset
128.915	0	128916	STI101	5888	---
134.289	0	134290	STI101	1	Movie onset
134.289	0	134290	STI001	5	---
134.289	0	134290	Trigger	1	Movie onset
139.86	0	139861	STI101	5888	---
145.424	0	145425	STI101	1	Movie onset
145.424	0	145425	STI001	5	---
145.424	0	145425	Trigger	1	Movie onset
150.87	0	150871	STI101	5888	---
156.258	0	156259	STI101	1	Movie onset
156.258	0	156259	STI001	5	---
156.258	0	156259	Trigger	1	Movie onset
161.45	0	161451	STI101	5888	---
166.867	0	166868	STI101	1	Movie onset
166.867	0	166868	STI001	5	---
166.867	0	166868	Trigger	1	Movie onset
172.306	0	172307	STI101	5888	---
177.918	0	177919	STI101	1	Movie onset
177.918	0	177919	STI001	5	---
177.918	0	177919	Trigger	1	Movie onset
183.354	0	183355	STI101	5888	---
187.385	0	187386	STI101	5632	---
189.904	0	189905	STI101	5888	---
191.115	0	191116	STI101	6144	---
192.284	0	192285	STI101	5888	---
193.235	0	193236	STI101	6144	---
194.254	0	194255	STI101	5888	---
195.318	0	195319	STI101	6144	---
196.35	0	196351	STI101	6144	---
197.348	0	197349	STI101	6144	---
198.278	0	198279	STI101	5888	---
199.256	0	199257	STI101	5888	---
200.36	0	200361	STI101	6144	---
201.431	0	201432	STI101	5888	---
202.331	0	202332	STI101	5888	---
203.231	0	203232	STI101	6144	---
204.222	0	204223	STI101	6144	---
205.327	0	205328	STI101	5888	---
206.498	0	206499	STI101	5888	---
207.34	0	207341	STI101	5888	---
208.381	0	208382	STI101	5888	---
209.327	0	209328	STI101	6144	---
212.851	0	212852	STI101	5632	---
215.3	0	215301	STI101	5632	---
216.901	0	216902	STI101	2	Cue onset
216.901	0	216902	STI002	5	---
216.901	0	216902	Trigger	2	Cue onset
222.264	0	222265	STI101	5888	---
222.265	0	222266	STI101	5892	---
222.265	0	222266	STI003	5	---
222.265	0	222266	Trigger	4	Sound1 onset
228.031	0	228032	STI101	6144	---
228.033	0	228034	STI101	6152	---
228.033	0	228034	STI004	5	---
228.033	0	228034	Trigger	8	Sound2 onset
233.15	0	233151	STI101	16	Probe response
233.15	0	233151	STI005	5	---
233.15	0	233151	Trigger	16	Probe response
233.697	0	233698	STI101	6144	---
235.4	0	235401	STI101	2	Cue onset
235.4	0	235401	STI002	5	---
235.4	0	235401	Trigger	2	Cue onset
240.703	0	240704	STI101	5888	---
240.705	0	240706	STI101	5892	---
240.705	0	240706	STI003	5	---
240.705	0	240706	Trigger	4	Sound1 onset
245.863	0	245864	STI101	6144	---
245.865	0	245866	STI101	6152	---
245.865	0	245866	STI004	5	---
245.865	0	245866	Trigger	8	Sound2 onset
250.98	0	250981	STI101	16	Probe response
250.98	0	250981	STI005	5	---
250.98	0	250981	Trigger	16	Probe response
251.256	0	251257	STI101	6144	---
253.031	0	253032	STI101	2	Cue onset
253.031	0	253032	STI002	5	---
253.031	0	253032	Trigger	2	Cue onset
258.308	0	258309	STI101	5888	---
258.311	0	258312	STI101	5892	---
258.311	0	258312	STI003	5	---
258.311	0	258312	Trigger	4	Sound1 onset
261.389	0	261390	STI101	6144	---
263.498	0	263499	STI101	6144	---
263.5	0	263501	STI101	6152	---
263.5	0	263501	STI004	5	---
263.5	0	263501	Trigger	8	Sound2 onset
268.616	0	268617	STI101	16	Probe response
268.616	0	268617	STI005	5	---
268.616	0	268617	Trigger	16	Probe response
268.795	0	268796	STI101	5888	---
270.563	0	270564	STI101	2	Cue onset
270.563	0	270564	STI002	5	---
270.563	0	270564	Trigger	2	Cue onset
275.907	0	275908	STI101	5888	---
275.909	0	275910	STI101	5892	---
275.909	0	275910	STI003	5	---
275.909	0	275910	Trigger	4	Sound1 onset
281.153	0	281154	STI101	6144	---
281.155	0	281156	STI101	6152	---
281.155	0	281156	STI004	5	---
281.155	0	281156	Trigger	8	Sound2 onset
286.272	0	286273	STI101	16	Probe response
286.272	0	286273	STI005	5	---
286.272	0	286273	Trigger	16	Probe response
286.615	0	286616	STI101	5888	---
288.403	0	288404	STI101	2	Cue onset
288.403	0	288404	STI002	5	---
288.403	0	288404	Trigger	2	Cue onset
292.826	0	292827	STI101	5888	---
293.709	0	293710	STI101	5888	---
293.711	0	293712	STI101	5892	---
293.711	0	293712	STI003	5	---
293.711	0	293712	Trigger	4	Sound1 onset
298.871	0	298872	STI101	6144	---
298.873	0	298874	STI101	6152	---
298.873	0	298874	STI004	5	---
298.873	0	298874	Trigger	8	Sound2 onset
303.99	0	303991	STI101	16	Probe response
303.99	0	303991	STI005	5	---
303.99	0	303991	Trigger	16	Probe response
304.313	0	304314	STI101	5888	---
306.043	0	306044	STI101	2	Cue onset
306.043	0	306044	STI002	5	---
306.043	0	306044	Trigger	2	Cue onset
311.624	0	311625	STI101	5888	---
311.625	0	311626	STI101	5892	---
311.625	0	311626	STI003	5	---
311.625	0	311626	Trigger	4	Sound1 onset
316.919	0	316920	STI101	6144	---
316.921	0	316922	STI101	6152	---
316.921	0	316922	STI004	5	---
316.921	0	316922	Trigger	8	Sound2 onset
322.036	0	322037	STI101	16	Probe response
322.036	0	322037	STI005	5	---
322.036	0	322037	Trigger	16	Probe response
322.409	0	322410	STI101	6144	---
324.117	0	324118	STI101	2	Cue onset
324.117	0	324118	STI002	5	---
324.117	0	324118	Trigger	2	Cue onset
329.457	0	329458	STI101	5888	---
329.459	0	329460	STI101	5892	---
329.459	0	329460	STI003	5	---
329.459	0	329460	Trigger	4	Sound1 onset
334.544	0	334545	STI101	6144	---
334.545	0	334546	STI101	6152	---
334.545	0	334546	STI004	5	---
334.545	0	334546	Trigger	8	Sound2 onset
339.661	0	339662	STI101	16	Probe response
339.661	0	339662	STI005	5	---
339.661	0	339662	Trigger	16	Probe response
340.166	0	340167	STI101	5888	---
341.848	0	341849	STI101	2	Cue onset
341.848	0	341849	STI002	5	---
341.848	0	341849	Trigger	2	Cue onset
347.125	0	347126	STI101	5888	---
347.126	0	347127	STI101	5892	---
347.126	0	347127	STI003	5	---
347.126	0	347127	Trigger	4	Sound1 onset
352.415	0	352416	STI101	6144	---
352.417	0	352418	STI101	6152	---
352.417	0	352418	STI004	5	---
352.417	0	352418	Trigger	8	Sound2 onset
357.533	0	357534	STI101	16	Probe response
357.533	0	357534	STI005	5	---
357.533	0	357534	Trigger	16	Probe response
357.711	0	357712	STI101	5888	---
359.463	0	359464	STI101	2	Cue onset
359.463	0	359464	STI002	5	---
359.463	0	359464	Trigger	2	Cue onset
361.456	0	361457	STI101	5888	---
364.571	0	364572	STI101	5888	---
364.573	0	364574	STI101	5892	---
364.573	0	364574	STI003	5	---
364.573	0	364574	Trigger	4	Sound1 onset
370.11	0	370111	STI101	6144	---
370.112	0	370113	STI101	6152	---
370.112	0	370113	STI004	5	---
370.112	0	370113	Trigger	8	Sound2 onset
375.229	0	375230	STI101	16	Probe response
375.229	0	375230	STI005	5	---
375.229	0	375230	Trigger	16	Probe response
375.471	0	375472	STI101	6144	---
377.312	0	377313	STI101	2	Cue onset
377.312	0	377313	STI002	5	---
377.312	0	377313	Trigger	2	Cue onset
381.799	0	381800	STI101	5888	---
382.633	0	382634	STI101	5888	---
382.635	0	382636	STI101	5892	---
382.635	0	382636	STI003	5	---
382.635	0	382636	Trigger	4	Sound1 onset
388.063	0	388064	STI101	6144	---
388.065	0	388066	STI101	6152	---
388.065	0	388066	STI004	5	---
388.065	0	388066	Trigger	8	Sound2 onset
393.18	0	393181	STI101	16	Probe response
393.18	0	393181	STI005	5	---
393.18	0	393181	Trigger	16	Probe response
393.478	0	393479	STI101	6144	---
395.31	0	395311	STI101	2	Cue onset
395.31	0	395311	STI002	5	---
395.31	0	395311	Trigger	2	Cue onset
400.653	0	400654	STI101	5888	---
400.655	0	400656	STI101	5892	---
400.655	0	400656	STI003	5	---
400.655	0	400656	Trigger	4	Sound1 onset
406.378	0	406379	STI101	6144	---
406.38	0	406381	STI101	6152	---
406.38	0	406381	STI004	5	---
406.38	0	406381	Trigger	8	Sound2 onset
411.496	0	411497	STI101	16	Probe response
411.496	0	411497	STI005	5	---
411.496	0	411497	Trigger	16	Probe response
411.882	0	411883	STI101	5888	---
413.667	0	413668	STI101	2	Cue onset
413.667	0	413668	STI002	5	---
413.667	0	413668	Trigger	2	Cue onset
419.111	0	419112	STI101	5888	---
419.112	0	419113	STI101	5892	---
419.112	0	419113	STI003	5	---
419.112	0	419113	Trigger	4	Sound1 onset
424.037	0	424038	STI101	6144	---
424.128	0	424129	STI101	6152	---
424.128	0	424129	STI004	5	---
