onset	duration	sample	type	value	event
8.193	0	8194	STI101	5632	---
16.624	0	16625	STI101	5632	---
19.296	0	19297	STI101	1	Movie onset
19.296	0	19297	STI001	5	---
19.296	0	19297	Trigger	1	Movie onset
26.032	0	26033	STI101	6144	---
31.648	0	31649	STI101	1	Movie onset
31.648	0	31649	STI001	5	---
31.648	0	31649	Trigger	1	Movie onset
37.669	0	37670	STI101	6144	---
43.182	0	43183	STI101	1	Movie onset
43.182	0	43183	STI001	5	---
43.182	0	43183	Trigger	1	Movie onset
49.465	0	49466	STI101	6144	---
55.017	0	55018	STI101	1	Movie onset
55.017	0	55018	STI001	5	---
55.017	0	55018	Trigger	1	Movie onset
63.266	0	63267	STI101	6144	---
68.946	0	68947	STI101	1	Movie onset
68.946	0	68947	STI001	5	---
68.946	0	68947	Trigger	1	Movie onset
74.592	0	74593	STI101	5888	---
80.189	0	80190	STI101	1	Movie onset
80.189	0	80190	STI001	5	---
80.189	0	80190	Trigger	1	Movie onset
85.749	0	85750	STI101	5888	---
91.315	0	91316	STI101	1	Movie onset
91.315	0	91316	STI001	5	---
91.315	0	91316	Trigger	1	Movie onset
97.665	0	97666	STI101	5888	---
103.166	0	103167	STI101	1	Movie onset
103.166	0	103167	STI001	5	---
103.166	0	103167	Trigger	1	Movie onset
108.79	0	108791	STI101	5888	---
111.307	0	111308	STI101	5632	---
114.411	0	114412	STI101	5888	---
115.861	0	115862	STI101	5888	---
117.306	0	117307	STI101	6144	---
118.687	0	118688	STI101	5888	---
120.442	0	120443	STI101	5888	---
121.556	0	121557	STI101	6144	---
122.818	0	122819	STI101	6144	---
124.026	0	124027	STI101	5888	---
125.479	0	125480	STI101	5888	---
126.703	0	126704	STI101	6144	---
128.036	0	128037	STI101	5888	---
129.353	0	129354	STI101	5888	---
131.367	0	131368	STI101	6144	---
132.665	0	132666	STI101	6144	---
133.888	0	133889	STI101	5888	---
135.35	0	135351	STI101	5888	---
136.743	0	136744	STI101	6144	---
138.229	0	138230	STI101	5888	---
139.721	0	139722	STI101	6144	---
141.046	0	141047	STI101	5888	---
143.497	0	143498	STI101	5632	---
147.297	0	147298	STI101	5632	---
149.03	0	149031	STI101	2	Cue onset
149.03	0	149031	STI002	5	---
149.03	0	149031	Trigger	2	Cue onset
154.299	0	154300	STI101	5888	---
154.3	0	154301	STI101	5892	---
154.3	0	154301	STI003	5	---
154.3	0	154301	Trigger	4	Sound1 onset
159.457	0	159458	STI101	6144	---
159.459	0	159460	STI101	6152	---
159.459	0	159460	STI004	5	---
159.459	0	159460	Trigger	8	Sound2 onset
164.575	0	164576	STI101	16	Probe response
164.575	0	164576	STI005	5	---
164.575	0	164576	Trigger	16	Probe response
164.695	0	164696	STI101	6144	---
166.328	0	166329	STI101	2	Cue onset
166.328	0	166329	STI002	5	---
166.328	0	166329	Trigger	2	Cue onset
171.649	0	171650	STI101	5888	---
171.651	0	171652	STI101	5892	---
171.651	0	171652	STI003	5	---
171.651	0	171652	Trigger	4	Sound1 onset
176.745	0	176746	STI101	6144	---
176.747	0	176748	STI101	6152	---
176.747	0	176748	STI004	5	---
176.747	0	176748	Trigger	8	Sound2 onset
181.863	0	181864	STI101	16	Probe response
181.863	0	181864	STI005	5	---
181.863	0	181864	Trigger	16	Probe response
182.005	0	182006	STI101	6144	---
183.718	0	183719	STI101	2	Cue onset
183.718	0	183719	STI002	5	---
183.718	0	183719	Trigger	2	Cue onset
189.08	0	189081	STI101	5888	---
189.082	0	189083	STI101	5892	---
189.082	0	189083	STI003	5	---
189.082	0	189083	Trigger	4	Sound1 onset
195.153	0	195154	STI101	6144	---
195.155	0	195156	STI101	6152	---
195.155	0	195156	STI004	5	---
195.155	0	195156	Trigger	8	Sound2 onset
200.27	0	200271	STI101	16	Probe response
200.27	0	200271	STI005	5	---
200.27	0	200271	Trigger	16	Probe response
200.586	0	200587	STI101	5888	---
202.334	0	202335	STI101	2	Cue onset
202.334	0	202335	STI002	5	---
202.334	0	202335	Trigger	2	Cue onset
207.711	0	207712	STI101	5888	---
207.713	0	207714	STI101	5892	---
207.713	0	207714	STI003	5	---
207.713	0	207714	Trigger	4	Sound1 onset
212.881	0	212882	STI101	6144	---
212.883	0	212884	STI101	6152	---
212.883	0	212884	STI004	5	---
