onset	duration	sample	type	value	event
14.434	0	14435	STI101	5632	---
16.083	0	16084	STI101	64	Localiser Sound onset
16.083	0	16084	STI007	5	---
16.083	0	16084	Trigger	64	Localiser Sound onset
21.958	0	21959	STI101	6144	---
22.706	0	22707	STI101	64	Localiser Sound onset
22.706	0	22707	STI007	5	---
22.706	0	22707	Trigger	64	Localiser Sound onset
28.142	0	28143	STI101	6144	---
29.412	0	29413	STI101	64	Localiser Sound onset
29.412	0	29413	STI007	5	---
29.412	0	29413	Trigger	64	Localiser Sound onset
34.697	0	34698	STI101	6144	---
36.2	0	36201	STI101	64	Localiser Sound onset
36.2	0	36201	STI007	5	---
36.2	0	36201	Trigger	64	Localiser Sound onset
41.576	0	41577	STI101	6144	---
42.981	0	42982	STI101	64	Localiser Sound onset
42.981	0	42982	STI007	5	---
42.981	0	42982	Trigger	64	Localiser Sound onset
48.198	0	48199	STI101	6144	---
49.528	0	49529	STI101	64	Localiser Sound onset
49.528	0	49529	STI007	5	---
49.528	0	49529	Trigger	64	Localiser Sound onset
54.796	0	54797	STI101	6144	---
56.184	0	56185	STI101	64	Localiser Sound onset
56.184	0	56185	STI007	5	---
56.184	0	56185	Trigger	64	Localiser Sound onset
61.492	0	61493	STI101	6144	---
62.873	0	62874	STI101	64	Localiser Sound onset
62.873	0	62874	STI007	5	---
62.873	0	62874	Trigger	64	Localiser Sound onset
68.202	0	68203	STI101	6144	---
69.52	0	69521	STI101	64	Localiser Sound onset
69.52	0	69521	STI007	5	---
69.52	0	69521	Trigger	64	Localiser Sound onset
74.83	0	74831	STI101	6144	---
76.217	0	76218	STI101	64	Localiser Sound onset
76.217	0	76218	STI007	5	---
76.217	0	76218	Trigger	64	Localiser Sound onset
81.5	0	81501	STI101	6144	---
82.99	0	82991	STI101	64	Localiser Sound onset
82.99	0	82991	STI007	5	---
82.99	0	82991	Trigger	64	Localiser Sound onset
88.5	0	88501	STI101	6144	---
89.754	0	89755	STI101	64	Localiser Sound onset
89.754	0	89755	STI007	5	---
89.754	0	89755	Trigger	64	Localiser Sound onset
95.082	0	95083	STI101	6144	---
96.318	0	96319	STI101	64	Localiser Sound onset
96.318	0	96319	STI007	5	---
96.318	0	96319	Trigger	64	Localiser Sound onset
101.607	0	101608	STI101	6144	---
103.007	0	103008	STI101	64	Localiser Sound onset
103.007	0	103008	STI007	5	---
103.007	0	103008	Trigger	64	Localiser Sound onset
108.541	0	108542	STI101	6144	---
109.754	0	109755	STI101	64	Localiser Sound onset
109.754	0	109755	STI007	5	---
109.754	0	109755	Trigger	64	Localiser Sound onset
113.002	0	113003	STI101	5888	---
115.825	0	115826	STI101	5888	---
116.41	0	116411	STI101	64	Localiser Sound onset
116.41	0	116411	STI007	5	---
116.41	0	116411	Trigger	64	Localiser Sound onset
121.785	0	121786	STI101	6144	---
123.007	0	123008	STI101	64	Localiser Sound onset
123.007	0	123008	STI007	5	---
123.007	0	123008	Trigger	64	Localiser Sound onset
126.472	0	126473	STI101	5888	---
128.425	0	128426	STI101	5888	---
129.713	0	129714	STI101	64	Localiser Sound onset
129.713	0	129714	STI007	5	---
129.713	0	129714	Trigger	64	Localiser Sound onset
135.182	0	135183	STI101	6144	---
136.468	0	136469	STI101	64	Localiser Sound onset
136.468	0	136469	STI007	5	---
136.468	0	136469	Trigger	64	Localiser Sound onset
141.996	0	141997	STI101	6144	---
143.182	0	143183	STI101	64	Localiser Sound onset
143.182	0	143183	STI007	5	---
143.182	0	143183	Trigger	64	Localiser Sound onset
148.737	0	148738	STI101	6144	---
149.963	0	149964	STI101	64	Localiser Sound onset
149.963	0	149964	STI007	5	---
149.963	0	149964	Trigger	64	Localiser Sound onset
155.717	0	155718	STI101	6144	---
156.669	0	156670	STI101	64	Localiser Sound onset
156.669	0	156670	STI007	5	---
156.669	0	156670	Trigger	64	Localiser Sound onset
162.608	0	162609	STI101	6144	---
163.549	0	163550	STI101	64	Localiser Sound onset
163.549	0	163550	STI007	5	---
163.549	0	163550	Trigger	64	Localiser Sound onset
168.932	0	168933	STI101	5888	---
170.18	0	170181	STI101	64	Localiser Sound onset
170.18	0	170181	STI007	5	---
170.18	0	170181	Trigger	64	Localiser Sound onset
175.46	0	175461	STI101	6144	---
176.944	0	176945	STI101	64	Localiser Sound onset
176.944	0	176945	STI007	5	---
