onset	duration	sample	type	value	event
9.336	0	9337	STI101	5632	---
11.651	0	11652	STI101	32	Localiser Movie onset
11.651	0	11652	STI006	5	---
11.651	0	11652	Trigger	32	Localiser Movie onset
21.901	0	21902	STI101	32	Localiser Movie onset
21.901	0	21902	STI006	5	---
21.901	0	21902	Trigger	32	Localiser Movie onset
32.227	0	32228	STI101	32	Localiser Movie onset
32.227	0	32228	STI006	5	---
32.227	0	32228	Trigger	32	Localiser Movie onset
42.602	0	42603	STI101	32	Localiser Movie onset
42.602	0	42603	STI006	5	---
42.602	0	42603	Trigger	32	Localiser Movie onset
45.321	0	45322	STI101	5888	---
52.961	0	52962	STI101	32	Localiser Movie onset
52.961	0	52962	STI006	5	---
52.961	0	52962	Trigger	32	Localiser Movie onset
63.169	0	63170	STI101	32	Localiser Movie onset
63.169	0	63170	STI006	5	---
63.169	0	63170	Trigger	32	Localiser Movie onset
73.295	0	73296	STI101	32	Localiser Movie onset
73.295	0	73296	STI006	5	---
73.295	0	73296	Trigger	32	Localiser Movie onset
83.587	0	83588	STI101	32	Localiser Movie onset
83.587	0	83588	STI006	5	---
83.587	0	83588	Trigger	32	Localiser Movie onset
93.678	0	93679	STI101	32	Localiser Movie onset
93.678	0	93679	STI006	5	---
93.678	0	93679	Trigger	32	Localiser Movie onset
104.037	0	104038	STI101	32	Localiser Movie onset
104.037	0	104038	STI006	5	---
104.037	0	104038	Trigger	32	Localiser Movie onset
114.354	0	114355	STI101	32	Localiser Movie onset
114.354	0	114355	STI006	5	---
114.354	0	114355	Trigger	32	Localiser Movie onset
124.746	0	124747	STI101	32	Localiser Movie onset
124.746	0	124747	STI006	5	---
124.746	0	124747	Trigger	32	Localiser Movie onset
134.922	0	134923	STI101	32	Localiser Movie onset
134.922	0	134923	STI006	5	---
134.922	0	134923	Trigger	32	Localiser Movie onset
145.064	0	145065	STI101	32	Localiser Movie onset
145.064	0	145065	STI006	5	---
145.064	0	145065	Trigger	32	Localiser Movie onset
155.397	0	155398	STI101	32	Localiser Movie onset
155.397	0	155398	STI006	5	---
155.397	0	155398	Trigger	32	Localiser Movie onset
165.806	0	165807	STI101	32	Localiser Movie onset
165.806	0	165807	STI006	5	---
165.806	0	165807	Trigger	32	Localiser Movie onset
176.056	0	176057	STI101	32	Localiser Movie onset
176.056	0	176057	STI006	5	---
176.056	0	176057	Trigger	32	Localiser Movie onset
186.282	0	186283	STI101	32	Localiser Movie onset
186.282	0	186283	STI006	5	---
186.282	0	186283	Trigger	32	Localiser Movie onset
196.549	0	196550	STI101	32	Localiser Movie onset
196.549	0	196550	STI006	5	---
196.549	0	196550	Trigger	32	Localiser Movie onset
206.874	0	206875	STI101	32	Localiser Movie onset
206.874	0	206875	STI006	5	---
206.874	0	206875	Trigger	32	Localiser Movie onset
217.199	0	217200	STI101	32	Localiser Movie onset
217.199	0	217200	STI006	5	---
217.199	0	217200	Trigger	32	Localiser Movie onset
227.35	0	227351	STI101	32	Localiser Movie onset
227.35	0	227351	STI006	5	---
227.35	0	227351	Trigger	32	Localiser Movie onset
234.36	0	234361	STI101	5632	---
237.867	0	237868	STI101	32	Localiser Movie onset
237.867	0	237868	STI006	5	---
237.867	0	237868	Trigger	32	Localiser Movie onset
248.117	0	248118	STI101	32	Localiser Movie onset
248.117	0	248118	STI006	5	---
248.117	0	248118	Trigger	32	Localiser Movie onset
252.277	0	252278	STI101	5888	---
258.334	0	258335	STI101	32	Localiser Movie onset
258.334	0	258335	STI006	5	---
258.334	0	258335	Trigger	32	Localiser Movie onset
268.559	0	268560	STI101	32	Localiser Movie onset
268.559	0	268560	STI006	5	---
268.559	0	268560	Trigger	32	Localiser Movie onset
272.438	0	272439	STI101	5888	---
273.106	0	273107	STI101	5888	---
278.935	0	278936	STI101	32	Localiser Movie onset
278.935	0	278936	STI006	5	---
278.935	0	278936	Trigger	32	Localiser Movie onset
289.202	0	289203	STI101	32	Localiser Movie onset
289.202	0	289203	STI006	5	---
289.202	0	289203	Trigger	32	Localiser Movie onset
299.544	0	299545	STI101	32	Localiser Movie onset
299.544	0	299545	STI006	5	---
299.544	0	299545	Trigger	32	Localiser Movie onset
309.828	0	309829	STI101	32	Localiser Movie onset
309.828	0	309829	STI006	5	---
309.828	0	309829	Trigger	32	Localiser Movie onset
312.965	0	312966	STI101	5888	---
313.648	0	313649	STI101	5888	---
320.161	0	320162	STI101	32	Localiser Movie onset
320.161	0	320162	STI006	5	---
320.161	0	320162	Trigger	32	Localiser Movie onset
330.387	0	330388	STI101	32	Localiser Movie onset
330.387	0	330388	STI006	5	---
330.387	0	330388	Trigger	32	Localiser Movie onset
340.787	0	340788	STI101	32	Localiser Movie onset
340.787	0	340788	STI006	5	---
340.787	0	340788	Trigger	32	Localiser Movie onset
