onset	duration	sample	type	value	event
15.578	0	15579	STI101	5632	---
20.221	0	20222	STI101	5632	---
22.695	0	22696	STI101	1	Movie onset
22.695	0	22696	STI001	5	---
22.695	0	22696	Trigger	1	Movie onset
28.442	0	28443	STI101	5888	---
33.995	0	33996	STI101	1	Movie onset
33.995	0	33996	STI001	5	---
33.995	0	33996	Trigger	1	Movie onset
39.835	0	39836	STI101	5888	---
45.28	0	45281	STI101	1	Movie onset
45.28	0	45281	STI001	5	---
45.28	0	45281	Trigger	1	Movie onset
50.894	0	50895	STI101	5888	---
56.481	0	56482	STI101	1	Movie onset
56.481	0	56482	STI001	5	---
56.481	0	56482	Trigger	1	Movie onset
62.116	0	62117	STI101	5888	---
67.775	0	67776	STI101	1	Movie onset
67.775	0	67776	STI001	5	---
67.775	0	67776	Trigger	1	Movie onset
73.75	0	73751	STI101	5888	---
79.184	0	79185	STI101	1	Movie onset
79.184	0	79185	STI001	5	---
79.184	0	79185	Trigger	1	Movie onset
85.01	0	85011	STI101	5888	---
90.751	0	90752	STI101	1	Movie onset
90.751	0	90752	STI001	5	---
90.751	0	90752	Trigger	1	Movie onset
96.274	0	96275	STI101	5888	---
101.953	0	101954	STI101	1	Movie onset
101.953	0	101954	STI001	5	---
101.953	0	101954	Trigger	1	Movie onset
107.634	0	107635	STI101	5888	---
113.179	0	113180	STI101	1	Movie onset
113.179	0	113180	STI001	5	---
113.179	0	113180	Trigger	1	Movie onset
118.684	0	118685	STI101	5888	---
124.155	0	124156	STI101	1	Movie onset
124.155	0	124156	STI001	5	---
124.155	0	124156	Trigger	1	Movie onset
129.608	0	129609	STI101	5888	---
135.189	0	135190	STI101	1	Movie onset
135.189	0	135190	STI001	5	---
135.189	0	135190	Trigger	1	Movie onset
140.634	0	140635	STI101	5888	---
146.082	0	146083	STI101	1	Movie onset
146.082	0	146083	STI001	5	---
146.082	0	146083	Trigger	1	Movie onset
151.571	0	151572	STI101	5888	---
157.249	0	157250	STI101	1	Movie onset
157.249	0	157250	STI001	5	---
157.249	0	157250	Trigger	1	Movie onset
162.947	0	162948	STI101	5888	---
168.442	0	168443	STI101	1	Movie onset
168.442	0	168443	STI001	5	---
168.442	0	168443	Trigger	1	Movie onset
173.853	0	173854	STI101	5888	---
179.585	0	179586	STI101	1	Movie onset
179.585	0	179586	STI001	5	---
179.585	0	179586	Trigger	1	Movie onset
185.148	0	185149	STI101	5888	---
190.611	0	190612	STI101	1	Movie onset
190.611	0	190612	STI001	5	---
190.611	0	190612	Trigger	1	Movie onset
196.292	0	196293	STI101	5888	---
201.036	0	201037	STI101	5632	---
203.823	0	203824	STI101	6144	---
205.035	0	205036	STI101	5888	---
206.113	0	206114	STI101	5888	---
207.382	0	207383	STI101	5888	---
208.644	0	208645	STI101	5888	---
209.676	0	209677	STI101	5888	---
211.267	0	211268	STI101	6144	---
212.52	0	212521	STI101	6144	---
213.756	0	213757	STI101	6144	---
214.986	0	214987	STI101	5888	---
216.239	0	216240	STI101	5888	---
218.41	0	218411	STI101	6144	---
220.249	0	220250	STI101	5888	---
221.619	0	221620	STI101	5888	---
222.954	0	222955	STI101	5888	---
224.036	0	224037	STI101	5888	---
225.433	0	225434	STI101	5888	---
226.601	0	226602	STI101	5888	---
227.628	0	227629	STI101	5888	---
228.684	0	228685	STI101	6144	---
230.028	0	230029	STI101	5632	---
231.768	0	231769	STI101	5632	---
233.431	0	233432	STI101	2	Cue onset
233.431	0	233432	STI002	5	---
233.431	0	233432	Trigger	2	Cue onset
239.303	0	239304	STI101	5888	---
239.304	0	239305	STI101	5892	---
239.304	0	239305	STI003	5	---
239.304	0	239305	Trigger	4	Sound1 onset
245.973	0	245974	STI101	6144	---
245.975	0	245976	STI101	6152	---
245.975	0	245976	STI004	5	---
245.975	0	245976	Trigger	8	Sound2 onset
251.091	0	251092	STI101	16	Probe response
251.091	0	251092	STI005	5	---
251.091	0	251092	Trigger	16	Probe response
252.024	0	252025	STI101	6144	---
253.881	0	253882	STI101	2	Cue onset
253.881	0	253882	STI002	5	---
253.881	0	253882	Trigger	2	Cue onset
259.669	0	259670	STI101	5888	---
259.671	0	259672	STI101	5892	---
259.671	0	259672	STI003	5	---
259.671	0	259672	Trigger	4	Sound1 onset
266.073	0	266074	STI101	6144	---
266.075	0	266076	STI101	6152	---
266.075	0	266076	STI004	5	---
266.075	0	266076	Trigger	8	Sound2 onset
271.192	0	271193	STI101	16	Probe response
271.192	0	271193	STI005	5	---
271.192	0	271193	Trigger	16	Probe response
271.681	0	271682	STI101	5888	---
273.331	0	273332	STI101	2	Cue onset
273.331	0	273332	STI002	5	---
273.331	0	273332	Trigger	2	Cue onset
279.145	0	279146	STI101	5888	---
279.147	0	279148	STI101	5892	---
279.147	0	279148	STI003	5	---
279.147	0	279148	Trigger	4	Sound1 onset
285.004	0	285005	STI101	6144	---
285.006	0	285007	STI101	6152	---
285.006	0	285007	STI004	5	---
285.006	0	285007	Trigger	8	Sound2 onset
290.122	0	290123	STI101	16	Probe response
290.122	0	290123	STI005	5	---
290.122	0	290123	Trigger	16	Probe response
290.814	0	290815	STI101	6144	---
292.489	0	292490	STI101	2	Cue onset
292.489	0	292490	STI002	5	---
292.489	0	292490	Trigger	2	Cue onset
298.884	0	298885	STI101	6144	---
298.885	0	298886	STI101	6152	---
298.885	0	298886	STI004	5	---
298.885	0	298886	Trigger	8	Sound2 onset
304.463	0	304464	STI101	5888	---
304.465	0	304466	STI101	5892	---
304.465	0	304466	STI003	5	---
304.465	0	304466	Trigger	4	Sound1 onset
309.481	0	309482	STI101	16	Probe response
309.481	0	309482	STI005	5	---
309.481	0	309482	Trigger	16	Probe response
310.13	0	310131	STI101	6144	---
312.014	0	312015	STI101	2	Cue onset
312.014	0	312015	STI002	5	---
312.014	0	312015	Trigger	2	Cue onset
317.439	0	317440	STI101	6144	---
317.441	0	317442	STI101	6152	---
317.441	0	317442	STI004	5	---
317.441	0	317442	Trigger	8	Sound2 onset
322.893	0	322894	STI101	5888	---
322.895	0	322896	STI101	5892	---
322.895	0	322896	STI003	5	---
322.895	0	322896	Trigger	4	Sound1 onset
327.913	0	327914	STI101	16	Probe response
327.913	0	327914	STI005	5	---
327.913	0	327914	Trigger	16	Probe response
328.381	0	328382	STI101	5888	---
330.02	0	330021	STI101	2	Cue onset
330.02	0	330021	STI002	5	---
330.02	0	330021	Trigger	2	Cue onset
335.716	0	335717	STI101	5888	---
335.718	0	335719	STI101	5892	---
335.718	0	335719	STI003	5	---
335.718	0	335719	Trigger	4	Sound1 onset
339.007	0	339008	STI101	6144	---
341.138	0	341139	STI101	6144	---
341.139	0	341140	STI101	6152	---
341.139	0	341140	STI004	5	---
341.139	0	341140	Trigger	8	Sound2 onset
346.255	0	346256	STI101	16	Probe response
346.255	0	346256	STI005	5	---
346.255	0	346256	Trigger	16	Probe response
347.196	0	347197	STI101	6144	---
348.87	0	348871	STI101	2	Cue onset
348.87	0	348871	STI002	5	---
348.87	0	348871	Trigger	2	Cue onset
354.684	0	354685	STI101	6144	---
354.686	0	354687	STI101	6152	---
354.686	0	354687	STI004	5	---
354.686	0	354687	Trigger	8	Sound2 onset
360.57	0	360571	STI101	5888	---
360.571	0	360572	STI101	5892	---
360.571	0	360572	STI003	5	---
360.571	0	360572	Trigger	4	Sound1 onset
