onset	duration	sample	type	value	event
21.33	0	21331	STI101	5632	---
24.027	0	24028	STI101	5632	---
28.808	0	28809	STI101	5632	---
31.332	0	31333	STI101	1	Movie onset
31.332	0	31333	STI001	5	---
31.332	0	31333	Trigger	1	Movie onset
38.304	0	38305	STI101	5888	---
43.893	0	43894	STI101	1	Movie onset
43.893	0	43894	STI001	5	---
43.893	0	43894	Trigger	1	Movie onset
49.928	0	49929	STI101	5888	---
55.619	0	55620	STI101	1	Movie onset
55.619	0	55620	STI001	5	---
55.619	0	55620	Trigger	1	Movie onset
61.765	0	61766	STI101	5888	---
67.363	0	67364	STI101	1	Movie onset
67.363	0	67364	STI001	5	---
67.363	0	67364	Trigger	1	Movie onset
73.058	0	73059	STI101	5888	---
78.547	0	78548	STI101	1	Movie onset
78.547	0	78548	STI001	5	---
78.547	0	78548	Trigger	1	Movie onset
83.928	0	83929	STI101	5888	---
89.557	0	89558	STI101	1	Movie onset
89.557	0	89558	STI001	5	---
89.557	0	89558	Trigger	1	Movie onset
95.272	0	95273	STI101	5888	---
100.749	0	100750	STI101	1	Movie onset
100.749	0	100750	STI001	5	---
100.749	0	100750	Trigger	1	Movie onset
106.828	0	106829	STI101	5888	---
112.309	0	112310	STI101	1	Movie onset
112.309	0	112310	STI001	5	---
112.309	0	112310	Trigger	1	Movie onset
117.91	0	117911	STI101	5888	---
123.611	0	123612	STI101	1	Movie onset
123.611	0	123612	STI001	5	---
123.611	0	123612	Trigger	1	Movie onset
129.322	0	129323	STI101	5888	---
134.711	0	134712	STI101	1	Movie onset
134.711	0	134712	STI001	5	---
134.711	0	134712	Trigger	1	Movie onset
140.424	0	140425	STI101	5888	---
146.013	0	146014	STI101	1	Movie onset
146.013	0	146014	STI001	5	---
146.013	0	146014	Trigger	1	Movie onset
151.606	0	151607	STI101	5888	---
157.189	0	157190	STI101	1	Movie onset
157.189	0	157190	STI001	5	---
157.189	0	157190	Trigger	1	Movie onset
162.622	0	162623	STI101	5888	---
168.173	0	168174	STI101	1	Movie onset
168.173	0	168174	STI001	5	---
168.173	0	168174	Trigger	1	Movie onset
173.956	0	173957	STI101	5888	---
179.574	0	179575	STI101	1	Movie onset
179.574	0	179575	STI001	5	---
179.574	0	179575	Trigger	1	Movie onset
185.198	0	185199	STI101	5888	---
190.692	0	190693	STI101	1	Movie onset
190.692	0	190693	STI001	5	---
190.692	0	190693	Trigger	1	Movie onset
196.33	0	196331	STI101	5888	---
201.943	0	201944	STI101	1	Movie onset
201.943	0	201944	STI001	5	---
201.943	0	201944	Trigger	1	Movie onset
207.702	0	207703	STI101	5888	---
213.153	0	213154	STI101	1	Movie onset
213.153	0	213154	STI001	5	---
213.153	0	213154	Trigger	1	Movie onset
218.874	0	218875	STI101	5888	---
224.454	0	224455	STI101	1	Movie onset
224.454	0	224455	STI001	5	---
224.454	0	224455	Trigger	1	Movie onset
230.121	0	230122	STI101	5888	---
235.755	0	235756	STI101	1	Movie onset
235.755	0	235756	STI001	5	---
235.755	0	235756	Trigger	1	Movie onset
241.543	0	241544	STI101	5888	---
247.114	0	247115	STI101	1	Movie onset
247.114	0	247115	STI001	5	---
247.114	0	247115	Trigger	1	Movie onset
252.794	0	252795	STI101	5888	---
258.249	0	258250	STI101	1	Movie onset
258.249	0	258250	STI001	5	---
258.249	0	258250	Trigger	1	Movie onset
263.969	0	263970	STI101	5888	---
269.375	0	269376	STI101	1	Movie onset
269.375	0	269376	STI001	5	---
269.375	0	269376	Trigger	1	Movie onset
275.105	0	275106	STI101	5888	---
280.709	0	280710	STI101	1	Movie onset
280.709	0	280710	STI001	5	---
280.709	0	280710	Trigger	1	Movie onset
286.259	0	286260	STI101	5888	---
291.861	0	291862	STI101	1	Movie onset
291.861	0	291862	STI001	5	---
291.861	0	291862	Trigger	1	Movie onset
297.408	0	297409	STI101	5888	---
299.911	0	299912	STI101	5632	---
302.804	0	302805	STI101	6144	---
304.685	0	304686	STI101	6144	---
306.029	0	306030	STI101	5888	---
307.325	0	307326	STI101	6144	---
308.454	0	308455	STI101	5888	---
309.812	0	309813	STI101	5888	---
311.104	0	311105	STI101	6144	---
314.781	0	314782	STI101	6144	---
316.438	0	316439	STI101	6144	---
318.048	0	318049	STI101	6144	---
319.195	0	319196	STI101	5888	---
320.386	0	320387	STI101	5888	---
321.624	0	321625	STI101	6144	---
323.027	0	323028	STI101	5888	---
324.423	0	324424	STI101	6144	---
325.763	0	325764	STI101	5888	---
327.058	0	327059	STI101	5888	---
328.283	0	328284	STI101	5888	---
329.455	0	329456	STI101	6144	---
331.068	0	331069	STI101	5888	---
332.408	0	332409	STI101	5632	---
333.281	0	333282	STI101	5632	---
335.197	0	335198	STI101	2	Cue onset
335.197	0	335198	STI002	5	---
335.197	0	335198	Trigger	2	Cue onset
340.557	0	340558	STI101	5888	---
340.558	0	340559	STI101	5892	---
340.558	0	340559	STI003	5	---
340.558	0	340559	Trigger	4	Sound1 onset
346.174	0	346175	STI101	6144	---
346.175	0	346176	STI101	6152	---
346.175	0	346176	STI004	5	---
346.175	0	346176	Trigger	8	Sound2 onset
351.291	0	351292	STI101	16	Probe response
351.291	0	351292	STI005	5	---
351.291	0	351292	Trigger	16	Probe response
351.715	0	351716	STI101	5888	---
353.571	0	353572	STI101	2	Cue onset
353.571	0	353572	STI002	5	---
353.571	0	353572	Trigger	2	Cue onset
358.868	0	358869	STI101	6144	---
358.87	0	358871	STI101	6152	---
358.87	0	358871	STI004	5	---
358.87	0	358871	Trigger	8	Sound2 onset
364.334	0	364335	STI101	5888	---
364.336	0	364337	STI101	5892	---
364.336	0	364337	STI003	5	---
364.336	0	364337	Trigger	4	Sound1 onset
369.352	0	369353	STI101	16	Probe response
369.352	0	369353	STI005	5	---
369.352	0	369353	Trigger	16	Probe response
370.388	0	370389	STI101	5888	---
372.07	0	372071	STI101	2	Cue onset
372.07	0	372071	STI002	5	---
372.07	0	372071	Trigger	2	Cue onset
377.676	0	377677	STI101	5888	---
377.678	0	377679	STI101	5892	---
377.678	0	377679	STI003	5	---
377.678	0	377679	Trigger	4	Sound1 onset
382.958	0	382959	STI101	6144	---
382.959	0	382960	STI101	6152	---
382.959	0	382960	STI004	5	---
382.959	0	382960	Trigger	8	Sound2 onset
388.075	0	388076	STI101	16	Probe response
388.075	0	388076	STI005	5	---
388.075	0	388076	Trigger	16	Probe response
388.421	0	388422	STI101	6144	---
390.219	0	390220	STI101	2	Cue onset
390.219	0	390220	STI002	5	---
390.219	0	390220	Trigger	2	Cue onset
395.644	0	395645	STI101	5888	---
395.646	0	395647	STI101	5892	---
395.646	0	395647	STI003	5	---
395.646	0	395647	Trigger	4	Sound1 onset
401.001	0	401002	STI101	6144	---
401.002	0	401003	STI101	6152	---
401.002	0	401003	STI004	5	---
401.002	0	401003	Trigger	8	Sound2 onset
406.12	0	406121	STI101	16	Probe response
406.12	0	406121	STI005	5	---
406.12	0	406121	Trigger	16	Probe response
406.186	0	406187	STI101	5888	---
407.926	0	407927	STI101	2	Cue onset
407.926	0	407927	STI002	5	---
407.926	0	407927	Trigger	2	Cue onset
413.216	0	413217	STI101	5888	---
413.218	0	413219	STI101	5892	---
413.218	0	413219	STI003	5	---
413.218	0	413219	Trigger	4	Sound1 onset
418.849	0	418850	STI101	6144	---
418.851	0	418852	STI101	6152	---
418.851	0	418852	STI004	5	---
418.851	0	418852	Trigger	8	Sound2 onset
423.966	0	423967	STI101	16	Probe response
423.966	0	423967	STI005	5	---
423.966	0	423967	Trigger	16	Probe response
424.226	0	424227	STI101	5888	---
425.857	0	425858	STI101	2	Cue onset
425.857	0	425858	STI002	5	---
425.857	0	425858	Trigger	2	Cue onset
431.14	0	431141	STI101	5888	---
431.141	0	431142	STI101	5892	---
431.141	0	431142	STI003	5	---
431.141	0	431142	Trigger	4	Sound1 onset
436.41	0	436411	STI101	6144	---
436.411	0	436412	STI101	6152	---
436.411	0	436412	STI004	5	---
436.411	0	436412	Trigger	8	Sound2 onset
441.527	0	441528	STI101	16	Probe response
441.527	0	441528	STI005	5	---
441.527	0	441528	Trigger	16	Probe response
441.78	0	441781	STI101	6144	---
443.447	0	443448	STI101	2	Cue onset
443.447	0	443448	STI002	5	---
443.447	0	443448	Trigger	2	Cue onset
448.684	0	448685	STI101	5888	---
448.685	0	448686	STI101	5892	---
448.685	0	448686	STI003	5	---
448.685	0	448686	Trigger	4	Sound1 onset
453.972	0	453973	STI101	6144	---
453.974	0	453975	STI101	6152	---
453.974	0	453975	STI004	5	---
453.974	0	453975	Trigger	8	Sound2 onset
459.089	0	459090	STI101	16	Probe response
459.089	0	459090	STI005	5	---
459.089	0	459090	Trigger	16	Probe response
459.398	0	459399	STI101	6144	---
461.095	0	461096	STI101	2	Cue onset
461.095	0	461096	STI002	5	---
461.095	0	461096	Trigger	2	Cue onset
466.454	0	466455	STI101	5888	---
466.456	0	466457	STI101	5892	---
466.456	0	466457	STI003	5	---
466.456	0	466457	Trigger	4	Sound1 onset
472.075	0	472076	STI101	6144	---
472.076	0	472077	STI101	6152	---
472.076	0	472077	STI004	5	---
472.076	0	472077	Trigger	8	Sound2 onset
477.192	0	477193	STI101	16	Probe response
477.192	0	477193	STI005	5	---
477.192	0	477193	Trigger	16	Probe response
477.287	0	477288	STI101	5888	---
479.077	0	479078	STI101	2	Cue onset
479.077	0	479078	STI002	5	---
479.077	0	479078	Trigger	2	Cue onset
484.685	0	484686	STI101	5888	---
484.686	0	484687	STI101	5892	---
484.686	0	484687	STI003	5	---
484.686	0	484687	Trigger	4	Sound1 onset
490.071	0	490072	STI101	6144	---
490.073	0	490074	STI101	6152	---
490.073	0	490074	STI004	5	---
490.073	0	490074	Trigger	8	Sound2 onset
495.188	0	495189	STI101	16	Probe response
495.188	0	495189	STI005	5	---
495.188	0	495189	Trigger	16	Probe response
495.425	0	495426	STI101	5888	---
497.159	0	497160	STI101	2	Cue onset
497.159	0	497160	STI002	5	---
497.159	0	497160	Trigger	2	Cue onset
502.751	0	502752	STI101	5888	---
502.753	0	502754	STI101	5892	---
502.753	0	502754	STI003	5	---
502.753	0	502754	Trigger	4	Sound1 onset
