onset	duration	sample	type	value	event
9.251	0	9252	STI101	5632	---
11.317	0	11318	STI101	5632	---
18.507	0	18508	STI101	5632	---
20.954	0	20955	STI101	1	Movie onset
20.954	0	20955	STI001	5	---
20.954	0	20955	Trigger	1	Movie onset
26.647	0	26648	STI101	5888	---
32.047	0	32048	STI101	1	Movie onset
32.047	0	32048	STI001	5	---
32.047	0	32048	Trigger	1	Movie onset
37.868	0	37869	STI101	6144	---
43.248	0	43249	STI101	1	Movie onset
43.248	0	43249	STI001	5	---
43.248	0	43249	Trigger	1	Movie onset
48.781	0	48782	STI101	5888	---
54.191	0	54192	STI101	1	Movie onset
54.191	0	54192	STI001	5	---
54.191	0	54192	Trigger	1	Movie onset
59.712	0	59713	STI101	5888	---
65.267	0	65268	STI101	1	Movie onset
65.267	0	65268	STI001	5	---
65.267	0	65268	Trigger	1	Movie onset
71.387	0	71388	STI101	5888	---
76.71	0	76711	STI101	1	Movie onset
76.71	0	76711	STI001	5	---
76.71	0	76711	Trigger	1	Movie onset
82.594	0	82595	STI101	6144	---
88.153	0	88154	STI101	1	Movie onset
88.153	0	88154	STI001	5	---
88.153	0	88154	Trigger	1	Movie onset
93.888	0	93889	STI101	5888	---
99.437	0	99438	STI101	1	Movie onset
99.437	0	99438	STI001	5	---
99.437	0	99438	Trigger	1	Movie onset
105.82	0	105821	STI101	5888	---
111.314	0	111315	STI101	1	Movie onset
111.314	0	111315	STI001	5	---
111.314	0	111315	Trigger	1	Movie onset
116.815	0	116816	STI101	6144	---
122.365	0	122366	STI101	1	Movie onset
122.365	0	122366	STI001	5	---
122.365	0	122366	Trigger	1	Movie onset
128.212	0	128213	STI101	6144	---
133.583	0	133584	STI101	1	Movie onset
133.583	0	133584	STI001	5	---
133.583	0	133584	Trigger	1	Movie onset
139.333	0	139334	STI101	5888	---
144.9	0	144901	STI101	1	Movie onset
144.9	0	144901	STI001	5	---
144.9	0	144901	Trigger	1	Movie onset
151.393	0	151394	STI101	5888	---
156.811	0	156812	STI101	1	Movie onset
156.811	0	156812	STI001	5	---
156.811	0	156812	Trigger	1	Movie onset
