onset	duration	sample	type	value	event
11.394	0	11395	STI101	5632	---
12.25	0	12251	STI101	5632	---
13.816	0	13817	STI101	5632	---
15.079	0	15080	STI101	5632	---
20.049	0	20050	STI101	5632	---
22.506	0	22507	STI101	1	Movie onset
22.506	0	22507	STI001	5	---
22.506	0	22507	Trigger	1	Movie onset
28.16	0	28161	STI101	5888	---
33.499	0	33500	STI101	1	Movie onset
33.499	0	33500	STI001	5	---
33.499	0	33500	Trigger	1	Movie onset
38.852	0	38853	STI101	5888	---
44.199	0	44200	STI101	1	Movie onset
44.199	0	44200	STI001	5	---
44.199	0	44200	Trigger	1	Movie onset
49.387	0	49388	STI101	6144	---
54.917	0	54918	STI101	1	Movie onset
54.917	0	54918	STI001	5	---
54.917	0	54918	Trigger	1	Movie onset
60.02	0	60021	STI101	5888	---
65.567	0	65568	STI101	1	Movie onset
65.567	0	65568	STI001	5	---
65.567	0	65568	Trigger	1	Movie onset
70.891	0	70892	STI101	5888	---
76.235	0	76236	STI101	1	Movie onset
76.235	0	76236	STI001	5	---
76.235	0	76236	Trigger	1	Movie onset
81.418	0	81419	STI101	5888	---
86.744	0	86745	STI101	1	Movie onset
86.744	0	86745	STI001	5	---
86.744	0	86745	Trigger	1	Movie onset
92.074	0	92075	STI101	5888	---
97.453	0	97454	STI101	1	Movie onset
97.453	0	97454	STI001	5	---
97.453	0	97454	Trigger	1	Movie onset
102.727	0	102728	STI101	5888	---
108.22	0	108221	STI101	1	Movie onset
108.22	0	108221	STI001	5	---
108.22	0	108221	Trigger	1	Movie onset
113.453	0	113454	STI101	6144	---
118.929	0	118930	STI101	1	Movie onset
118.929	0	118930	STI001	5	---
118.929	0	118930	Trigger	1	Movie onset
124.054	0	124055	STI101	6144	---
129.446	0	129447	STI101	1	Movie onset
129.446	0	129447	STI001	5	---
129.446	0	129447	Trigger	1	Movie onset
134.697	0	134698	STI101	6144	---
140.214	0	140215	STI101	1	Movie onset
140.214	0	140215	STI001	5	---
140.214	0	140215	Trigger	1	Movie onset
145.433	0	145434	STI101	6144	---
147.101	0	147102	STI101	5632	---
149.873	0	149874	STI101	6144	---
151.749	0	151750	STI101	5888	---
153.473	0	153474	STI101	5888	---
154.776	0	154777	STI101	5888	---
156.08	0	156081	STI101	6144	---
157.607	0	157608	STI101	6144	---
158.954	0	158955	STI101	6144	---
160.36	0	160361	STI101	5888	---
161.671	0	161672	STI101	5888	---
162.852	0	162853	STI101	5888	---
164.491	0	164492	STI101	5888	---
165.729	0	165730	STI101	5888	---
166.936	0	166937	STI101	6144	---
168.212	0	168213	STI101	5888	---
169.964	0	169965	STI101	5888	---
171.261	0	171262	STI101	6144	---
172.525	0	172526	STI101	5888	---
173.803	0	173804	STI101	6144	---
175.099	0	175100	STI101	6144	---
176.183	0	176184	STI101	5888	---
177.823	0	177824	STI101	5632	---
178.947	0	178948	STI101	5632	---
180.748	0	180749	STI101	2	Cue onset
180.748	0	180749	STI002	5	---
180.748	0	180749	Trigger	2	Cue onset
186.154	0	186155	STI101	5888	---
186.155	0	186156	STI101	5892	---
186.155	0	186156	STI003	5	---
186.155	0	186156	Trigger	4	Sound1 onset
191.464	0	191465	STI101	6144	---
191.466	0	191467	STI101	6152	---
191.466	0	191467	STI004	5	---
191.466	0	191467	Trigger	8	Sound2 onset
196.582	0	196583	STI101	16	Probe response
196.582	0	196583	STI005	5	---
196.582	0	196583	Trigger	16	Probe response
197.351	0	197352	STI101	6144	---
199.197	0	199198	STI101	2	Cue onset
199.197	0	199198	STI002	5	---
199.197	0	199198	Trigger	2	Cue onset
204.518	0	204519	STI101	5888	---
204.519	0	204520	STI101	5892	---
204.519	0	204520	STI003	5	---
204.519	0	204520	Trigger	4	Sound1 onset
209.746	0	209747	STI101	6144	---
209.747	0	209748	STI101	6152	---
209.747	0	209748	STI004	5	---
209.747	0	209748	Trigger	8	Sound2 onset
214.862	0	214863	STI101	16	Probe response
214.862	0	214863	STI005	5	---
214.862	0	214863	Trigger	16	Probe response
215.024	0	215025	STI101	5888	---
216.795	0	216796	STI101	2	Cue onset
216.795	0	216796	STI002	5	---
216.795	0	216796	Trigger	2	Cue onset
222.118	0	222119	STI101	5888	---
222.12	0	222121	STI101	5892	---
222.12	0	222121	STI003	5	---
222.12	0	222121	Trigger	4	Sound1 onset
227.334	0	227335	STI101	6144	---
227.335	0	227336	STI101	6152	---
227.335	0	227336	STI004	5	---
227.335	0	227336	Trigger	8	Sound2 onset
232.451	0	232452	STI101	16	Probe response
232.451	0	232452	STI005	5	---
232.451	0	232452	Trigger	16	Probe response
232.72	0	232721	STI101	6144	---
234.427	0	234428	STI101	2	Cue onset
234.427	0	234428	STI002	5	---
234.427	0	234428	Trigger	2	Cue onset
239.742	0	239743	STI101	5888	---
239.744	0	239745	STI101	5892	---
239.744	0	239745	STI003	5	---
239.744	0	239745	Trigger	4	Sound1 onset
244.911	0	244912	STI101	6144	---
244.913	0	244914	STI101	6152	---
244.913	0	244914	STI004	5	---
244.913	0	244914	Trigger	8	Sound2 onset
250.027	0	250028	STI101	16	Probe response
250.027	0	250028	STI005	5	---
250.027	0	250028	Trigger	16	Probe response
256.433	0	256434	STI101	6144	---
258.138	0	258139	STI101	2	Cue onset
258.138	0	258139	STI002	5	---
258.138	0	258139	Trigger	2	Cue onset
263.434	0	263435	STI101	5888	---
263.435	0	263436	STI101	5892	---
263.435	0	263436	STI003	5	---
263.435	0	263436	Trigger	4	Sound1 onset
268.747	0	268748	STI101	6144	---
268.748	0	268749	STI101	6152	---
268.748	0	268749	STI004	5	---
268.748	0	268749	Trigger	8	Sound2 onset
273.864	0	273865	STI101	16	Probe response
273.864	0	273865	STI005	5	---
273.864	0	273865	Trigger	16	Probe response
273.994	0	273995	STI101	6144	---
275.795	0	275796	STI101	2	Cue onset
275.795	0	275796	STI002	5	---
275.795	0	275796	Trigger	2	Cue onset
281.141	0	281142	STI101	5888	---
281.143	0	281144	STI101	5892	---
281.143	0	281144	STI003	5	---
281.143	0	281144	Trigger	4	Sound1 onset
288.069	0	288070	STI101	6144	---
288.07	0	288071	STI101	6152	---
288.07	0	288071	STI004	5	---
288.07	0	288071	Trigger	8	Sound2 onset
293.186	0	293187	STI101	16	Probe response
293.186	0	293187	STI005	5	---
293.186	0	293187	Trigger	16	Probe response
293.594	0	293595	STI101	5888	---
295.353	0	295354	STI101	2	Cue onset
295.353	0	295354	STI002	5	---
295.353	0	295354	Trigger	2	Cue onset
300.918	0	300919	STI101	5888	---
300.92	0	300921	STI101	5892	---
300.92	0	300921	STI003	5	---
300.92	0	300921	Trigger	4	Sound1 onset
306.237	0	306238	STI101	6144	---
306.239	0	306240	STI101	6152	---
306.239	0	306240	STI004	5	---
