onset	duration	sample	type	value	event
11.025	0	11026	STI101	5632	---
12.945	0	12946	STI101	5632	---
18.631	0	18632	STI101	5632	---
21.028	0	21029	STI101	1	Movie onset
21.028	0	21029	STI001	5	---
21.028	0	21029	Trigger	1	Movie onset
29.604	0	29605	STI101	6144	---
35.173	0	35174	STI101	1	Movie onset
35.173	0	35174	STI001	5	---
35.173	0	35174	Trigger	1	Movie onset
42.196	0	42197	STI101	5888	---
47.717	0	47718	STI101	1	Movie onset
47.717	0	47718	STI001	5	---
47.717	0	47718	Trigger	1	Movie onset
55.567	0	55568	STI101	5888	---
60.87	0	60871	STI101	1	Movie onset
60.87	0	60871	STI001	5	---
60.87	0	60871	Trigger	1	Movie onset
67.55	0	67551	STI101	6144	---
73.013	0	73014	STI101	1	Movie onset
73.013	0	73014	STI001	5	---
73.013	0	73014	Trigger	1	Movie onset
80.209	0	80210	STI101	5888	---
85.649	0	85650	STI101	1	Movie onset
85.649	0	85650	STI001	5	---
85.649	0	85650	Trigger	1	Movie onset
93.459	0	93460	STI101	5888	---
98.81	0	98811	STI101	1	Movie onset
98.81	0	98811	STI001	5	---
98.81	0	98811	Trigger	1	Movie onset
105.724	0	105725	STI101	5888	---
111.171	0	111172	STI101	1	Movie onset
111.171	0	111172	STI001	5	---
111.171	0	111172	Trigger	1	Movie onset
117.422	0	117423	STI101	5888	---
123.05	0	123051	STI101	5632	---
127.013	0	127014	STI101	5888	---
128.088	0	128089	STI101	5888	---
129.157	0	129158	STI101	6144	---
130.773	0	130774	STI101	5888	---
131.943	0	131944	STI101	5888	---
133.005	0	133006	STI101	5888	---
134.061	0	134062	STI101	6144	---
135.138	0	135139	STI101	6144	---
136.489	0	136490	STI101	5888	---
137.575	0	137576	STI101	6144	---
138.679	0	138680	STI101	5888	---
139.887	0	139888	STI101	5888	---
140.94	0	140941	STI101	5888	---
142.027	0	142028	STI101	6144	---
143.028	0	143029	STI101	6144	---
144.042	0	144043	STI101	6144	---
145.054	0	145055	STI101	6144	---
146.047	0	146048	STI101	5888	---
147.018	0	147019	STI101	6144	---
148.14	0	148141	STI101	5888	---
149.917	0	149918	STI101	5632	---
150.791	0	150792	STI101	5632	---
152.639	0	152640	STI101	2	Cue onset
152.639	0	152640	STI002	5	---
152.639	0	152640	Trigger	2	Cue onset
158.536	0	158537	STI101	5888	---
158.537	0	158538	STI101	5892	---
158.537	0	158538	STI003	5	---
158.537	0	158538	Trigger	4	Sound1 onset
164.525	0	164526	STI101	6144	---
164.527	0	164528	STI101	6152	---
164.527	0	164528	STI004	5	---
164.527	0	164528	Trigger	8	Sound2 onset
169.642	0	169643	STI101	16	Probe response
169.642	0	169643	STI005	5	---
169.642	0	169643	Trigger	16	Probe response
170.554	0	170555	STI101	6144	---
172.356	0	172357	STI101	2	Cue onset
172.356	0	172357	STI002	5	---
172.356	0	172357	Trigger	2	Cue onset
178.196	0	178197	STI101	5888	---
178.198	0	178199	STI101	5892	---
178.198	0	178199	STI003	5	---
178.198	0	178199	Trigger	4	Sound1 onset
183.642	0	183643	STI101	6144	---
183.644	0	183645	STI101	6152	---
183.644	0	183645	STI004	5	---
183.644	0	183645	Trigger	8	Sound2 onset
188.76	0	188761	STI101	16	Probe response
188.76	0	188761	STI005	5	---
188.76	0	188761	Trigger	16	Probe response
189.373	0	189374	STI101	6144	---
191.205	0	191206	STI101	2	Cue onset
191.205	0	191206	STI002	5	---
191.205	0	191206	Trigger	2	Cue onset
196.789	0	196790	STI101	5888	---
196.791	0	196792	STI101	5892	---
196.791	0	196792	STI003	5	---
196.791	0	196792	Trigger	4	Sound1 onset
202.249	0	202250	STI101	6144	---
202.251	0	202252	STI101	6152	---
202.251	0	202252	STI004	5	---
202.251	0	202252	Trigger	8	Sound2 onset
207.365	0	207366	STI101	16	Probe response
207.365	0	207366	STI005	5	---
207.365	0	207366	Trigger	16	Probe response
208.242	0	208243	STI101	6144	---
209.971	0	209972	STI101	2	Cue onset
209.971	0	209972	STI002	5	---
209.971	0	209972	Trigger	2	Cue onset
215.618	0	215619	STI101	5888	---
215.619	0	215620	STI101	5892	---
215.619	0	215620	STI003	5	---
215.619	0	215620	Trigger	4	Sound1 onset
221.072	0	221073	STI101	6144	---
221.074	0	221075	STI101	6152	---
221.074	0	221075	STI004	5	---
221.074	0	221075	Trigger	8	Sound2 onset
226.19	0	226191	STI101	16	Probe response
226.19	0	226191	STI005	5	---
226.19	0	226191	Trigger	16	Probe response
226.781	0	226782	STI101	5888	---
228.461	0	228462	STI101	2	Cue onset
228.461	0	228462	STI002	5	---
228.461	0	228462	Trigger	2	Cue onset
234.092	0	234093	STI101	5888	---
234.094	0	234095	STI101	5892	---
234.094	0	234095	STI003	5	---
234.094	0	234095	Trigger	4	Sound1 onset
239.911	0	239912	STI101	6144	---
239.913	0	239914	STI101	6152	---
239.913	0	239914	STI004	5	---
239.913	0	239914	Trigger	8	Sound2 onset
245.029	0	245030	STI101	16	Probe response
245.029	0	245030	STI005	5	---
245.029	0	245030	Trigger	16	Probe response
246.531	0	246532	STI101	5888	---
248.228	0	248229	STI101	2	Cue onset
248.228	0	248229	STI002	5	---
248.228	0	248229	Trigger	2	Cue onset
253.881	0	253882	STI101	5888	---
253.883	0	253884	STI101	5892	---
253.883	0	253884	STI003	5	---
253.883	0	253884	Trigger	4	Sound1 onset
259.356	0	259357	STI101	6144	---
259.358	0	259359	STI101	6152	---
259.358	0	259359	STI004	5	---
259.358	0	259359	Trigger	8	Sound2 onset
264.474	0	264475	STI101	16	Probe response
264.474	0	264475	STI005	5	---
264.474	0	264475	Trigger	16	Probe response
269.331	0	269332	STI101	6144	---
271.014	0	271015	STI101	2	Cue onset
271.014	0	271015	STI002	5	---
271.014	0	271015	Trigger	2	Cue onset
276.557	0	276558	STI101	5888	---
276.56	0	276561	STI101	5892	---
276.56	0	276561	STI003	5	---
276.56	0	276561	Trigger	4	Sound1 onset
282.13	0	282131	STI101	6144	---
282.132	0	282133	STI101	6152	---
282.132	0	282133	STI004	5	---
282.132	0	282133	Trigger	8	Sound2 onset
287.248	0	287249	STI101	16	Probe response
287.248	0	287249	STI005	5	---
287.248	0	287249	Trigger	16	Probe response
288.545	0	288546	STI101	5888	---
290.363	0	290364	STI101	2	Cue onset
290.363	0	290364	STI002	5	---
290.363	0	290364	Trigger	2	Cue onset
295.949	0	295950	STI101	5888	---
295.951	0	295952	STI101	5892	---
295.951	0	295952	STI003	5	---
295.951	0	295952	Trigger	4	Sound1 onset
301.758	0	301759	STI101	6144	---
301.76	0	301761	STI101	6152	---
301.76	0	301761	STI004	5	---
301.76	0	301761	Trigger	8	Sound2 onset
306.875	0	306876	STI101	16	Probe response
306.875	0	306876	STI005	5	---
306.875	0	306876	Trigger	16	Probe response
307.442	0	307443	STI101	5888	---
