onset	duration	sample	type	value	event
15.369	0	15370	STI101	5632	---
16.903	0	16904	STI101	64	Localiser Sound onset
16.903	0	16904	STI007	5	---
16.903	0	16904	Trigger	64	Localiser Sound onset
23.592	0	23593	STI101	64	Localiser Sound onset
23.592	0	23593	STI007	5	---
23.592	0	23593	Trigger	64	Localiser Sound onset
30.323	0	30324	STI101	64	Localiser Sound onset
30.323	0	30324	STI007	5	---
30.323	0	30324	Trigger	64	Localiser Sound onset
36.987	0	36988	STI101	64	Localiser Sound onset
36.987	0	36988	STI007	5	---
36.987	0	36988	Trigger	64	Localiser Sound onset
43.642	0	43643	STI101	64	Localiser Sound onset
43.642	0	43643	STI007	5	---
43.642	0	43643	Trigger	64	Localiser Sound onset
50.289	0	50290	STI101	64	Localiser Sound onset
50.289	0	50290	STI007	5	---
50.289	0	50290	Trigger	64	Localiser Sound onset
53.626	0	53627	STI101	5888	---
54.541	0	54542	STI101	5888	---
56.837	0	56838	STI101	64	Localiser Sound onset
56.837	0	56838	STI007	5	---
56.837	0	56838	Trigger	64	Localiser Sound onset
63.617	0	63618	STI101	64	Localiser Sound onset
63.617	0	63618	STI007	5	---
63.617	0	63618	Trigger	64	Localiser Sound onset
70.382	0	70383	STI101	64	Localiser Sound onset
70.382	0	70383	STI007	5	---
70.382	0	70383	Trigger	64	Localiser Sound onset
77.095	0	77096	STI101	64	Localiser Sound onset
77.095	0	77096	STI007	5	---
77.095	0	77096	Trigger	64	Localiser Sound onset
83.659	0	83660	STI101	64	Localiser Sound onset
83.659	0	83660	STI007	5	---
83.659	0	83660	Trigger	64	Localiser Sound onset
85.933	0	85934	STI101	5888	---
90.207	0	90208	STI101	64	Localiser Sound onset
90.207	0	90208	STI007	5	---
90.207	0	90208	Trigger	64	Localiser Sound onset
96.763	0	96764	STI101	64	Localiser Sound onset
96.763	0	96764	STI007	5	---
96.763	0	96764	Trigger	64	Localiser Sound onset
103.309	0	103310	STI101	64	Localiser Sound onset
103.309	0	103310	STI007	5	---
103.309	0	103310	Trigger	64	Localiser Sound onset
109.856	0	109857	STI101	64	Localiser Sound onset
109.856	0	109857	STI007	5	---
109.856	0	109857	Trigger	64	Localiser Sound onset
116.629	0	116630	STI101	64	Localiser Sound onset
116.629	0	116630	STI007	5	---
116.629	0	116630	Trigger	64	Localiser Sound onset
123.284	0	123285	STI101	64	Localiser Sound onset
123.284	0	123285	STI007	5	---
123.284	0	123285	Trigger	64	Localiser Sound onset
129.998	0	129999	STI101	64	Localiser Sound onset
129.998	0	129999	STI007	5	---
129.998	0	129999	Trigger	64	Localiser Sound onset
136.671	0	136672	STI101	64	Localiser Sound onset
136.671	0	136672	STI007	5	---
136.671	0	136672	Trigger	64	Localiser Sound onset
143.385	0	143386	STI101	64	Localiser Sound onset
143.385	0	143386	STI007	5	---
143.385	0	143386	Trigger	64	Localiser Sound onset
150.149	0	150150	STI101	64	Localiser Sound onset
150.149	0	150150	STI007	5	---
150.149	0	150150	Trigger	64	Localiser Sound onset
156.888	0	156889	STI101	64	Localiser Sound onset
156.888	0	156889	STI007	5	---
156.888	0	156889	Trigger	64	Localiser Sound onset
160.334	0	160335	STI101	5888	---
163.669	0	163670	STI101	64	Localiser Sound onset
163.669	0	163670	STI007	5	---
163.669	0	163670	Trigger	64	Localiser Sound onset
170.241	0	170242	STI101	64	Localiser Sound onset
170.241	0	170242	STI007	5	---
170.241	0	170242	Trigger	64	Localiser Sound onset
176.896	0	176897	STI101	64	Localiser Sound onset
176.896	0	176897	STI007	5	---
176.896	0	176897	Trigger	64	Localiser Sound onset
183.494	0	183495	STI101	64	Localiser Sound onset
183.494	0	183495	STI007	5	---
183.494	0	183495	Trigger	64	Localiser Sound onset
190.274	0	190275	STI101	64	Localiser Sound onset
190.274	0	190275	STI007	5	---
190.274	0	190275	Trigger	64	Localiser Sound onset
193.163	0	193164	STI101	5888	---
197.064	0	197065	STI101	64	Localiser Sound onset
197.064	0	197065	STI007	5	---
197.064	0	197065	Trigger	64	Localiser Sound onset
203.819	0	203820	STI101	64	Localiser Sound onset
203.819	0	203820	STI007	5	---
203.819	0	203820	Trigger	64	Localiser Sound onset
210.366	0	210367	STI101	64	Localiser Sound onset
210.366	0	210367	STI007	5	---
210.366	0	210367	Trigger	64	Localiser Sound onset
216.93	0	216931	STI101	64	Localiser Sound onset
216.93	0	216931	STI007	5	---
216.93	0	216931	Trigger	64	Localiser Sound onset
223.644	0	223645	STI101	64	Localiser Sound onset
223.644	0	223645	STI007	5	---
223.644	0	223645	Trigger	64	Localiser Sound onset
230.425	0	230426	STI101	64	Localiser Sound onset
230.425	0	230426	STI007	5	---
230.425	0	230426	Trigger	64	Localiser Sound onset
237.147	0	237148	STI101	64	Localiser Sound onset
237.147	0	237148	STI007	5	---
237.147	0	237148	Trigger	64	Localiser Sound onset
239.402	0	239403	STI101	5888	---
243.794	0	243795	STI101	64	Localiser Sound onset
243.794	0	243795	STI007	5	---
243.794	0	243795	Trigger	64	Localiser Sound onset
250.408	0	250409	STI101	64	Localiser Sound onset
250.408	0	250409	STI007	5	---
250.408	0	250409	Trigger	64	Localiser Sound onset
257.047	0	257048	STI101	64	Localiser Sound onset
257.047	0	257048	STI007	5	---
257.047	0	257048	Trigger	64	Localiser Sound onset
263.795	0	263796	STI101	64	Localiser Sound onset
263.795	0	263796	STI007	5	---
263.795	0	263796	Trigger	64	Localiser Sound onset
270.367	0	270368	STI101	64	Localiser Sound onset
270.367	0	270368	STI007	5	---
270.367	0	270368	Trigger	64	Localiser Sound onset
276.989	0	276990	STI101	64	Localiser Sound onset
276.989	0	276990	STI007	5	---
276.989	0	276990	Trigger	64	Localiser Sound onset
279.555	0	279556	STI101	5888	---
283.603	0	283604	STI101	64	Localiser Sound onset
283.603	0	283604	STI007	5	---
283.603	0	283604	Trigger	64	Localiser Sound onset
286.152	0	286153	STI101	5888	---
290.234	0	290235	STI101	64	Localiser Sound onset
290.234	0	290235	STI007	5	---
290.234	0	290235	Trigger	64	Localiser Sound onset
296.939	0	296940	STI101	64	Localiser Sound onset
296.939	0	296940	STI007	5	---
296.939	0	296940	Trigger	64	Localiser Sound onset
298.762	0	298763	STI101	5888	---
303.578	0	303579	STI101	64	Localiser Sound onset
303.578	0	303579	STI007	5	---
303.578	0	303579	Trigger	64	Localiser Sound onset
310.309	0	310310	STI101	64	Localiser Sound onset
310.309	0	310310	STI007	5	---
310.309	0	310310	Trigger	64	Localiser Sound onset
317.065	0	317066	STI101	64	Localiser Sound onset
317.065	0	317066	STI007	5	---
317.065	0	317066	Trigger	64	Localiser Sound onset
