onset	duration	sample	type	value	event
16.671	0	16672	STI101	1	Movie onset
16.671	0	16672	STI001	5	---
16.671	0	16672	Trigger	1	Movie onset
24.098	0	24099	STI101	5888	---
29.748	0	29749	STI101	1	Movie onset
29.748	0	29749	STI001	5	---
29.748	0	29749	Trigger	1	Movie onset
38.072	0	38073	STI101	5888	---
43.851	0	43852	STI101	1	Movie onset
43.851	0	43852	STI001	5	---
43.851	0	43852	Trigger	1	Movie onset
50.472	0	50473	STI101	5888	---
56.078	0	56079	STI101	1	Movie onset
56.078	0	56079	STI001	5	---
56.078	0	56079	Trigger	1	Movie onset
62.941	0	62942	STI101	5888	---
68.698	0	68699	STI101	1	Movie onset
68.698	0	68699	STI001	5	---
68.698	0	68699	Trigger	1	Movie onset
74.413	0	74414	STI101	5888	---
80.024	0	80025	STI101	1	Movie onset
80.024	0	80025	STI001	5	---
80.024	0	80025	Trigger	1	Movie onset
85.508	0	85509	STI101	5888	---
91.116	0	91117	STI101	1	Movie onset
91.116	0	91117	STI001	5	---
91.116	0	91117	Trigger	1	Movie onset
96.723	0	96724	STI101	6144	---
102.434	0	102435	STI101	1	Movie onset
102.434	0	102435	STI001	5	---
102.434	0	102435	Trigger	1	Movie onset
107.899	0	107900	STI101	5888	---
113.544	0	113545	STI101	1	Movie onset
113.544	0	113545	STI001	5	---
113.544	0	113545	Trigger	1	Movie onset
119.661	0	119662	STI101	5888	---
125.262	0	125263	STI101	1	Movie onset
125.262	0	125263	STI001	5	---
125.262	0	125263	Trigger	1	Movie onset
130.607	0	130608	STI101	5888	---
136.221	0	136222	STI101	1	Movie onset
136.221	0	136222	STI001	5	---
136.221	0	136222	Trigger	1	Movie onset
141.523	0	141524	STI101	5888	---
147.264	0	147265	STI101	1	Movie onset
147.264	0	147265	STI001	5	---
147.264	0	147265	Trigger	1	Movie onset
152.641	0	152642	STI101	5888	---
158.323	0	158324	STI101	1	Movie onset
158.323	0	158324	STI001	5	---
158.323	0	158324	Trigger	1	Movie onset
163.703	0	163704	STI101	5888	---
169.349	0	169350	STI101	1	Movie onset
169.349	0	169350	STI001	5	---
169.349	0	169350	Trigger	1	Movie onset
175.109	0	175110	STI101	5888	---
180.825	0	180826	STI101	1	Movie onset
180.825	0	180826	STI001	5	---
180.825	0	180826	Trigger	1	Movie onset
186.383	0	186384	STI101	5888	---
192.143	0	192144	STI101	1	Movie onset
192.143	0	192144	STI001	5	---
192.143	0	192144	Trigger	1	Movie onset
197.795	0	197796	STI101	5888	---
206.438	0	206439	STI101	5632	---
209.747	0	209748	STI101	6144	---
211.065	0	211066	STI101	6144	---
212.465	0	212466	STI101	6144	---
213.454	0	213455	STI101	6144	---
214.549	0	214550	STI101	6144	---
215.605	0	215606	STI101	5888	---
216.548	0	216549	STI101	6144	---
217.656	0	217657	STI101	5888	---
218.517	0	218518	STI101	6144	---
219.468	0	219469	STI101	5888	---
220.455	0	220456	STI101	5888	---
221.333	0	221334	STI101	6144	---
222.176	0	222177	STI101	5888	---
223.001	0	223002	STI101	6144	---
223.593	0	223594	STI101	5888	---
224.884	0	224885	STI101	5888	---
227.512	0	227513	STI101	5888	---
230.273	0	230274	STI101	6144	---
231.532	0	231533	STI101	6144	---
233.259	0	233260	STI101	5888	---
238.305	0	238306	STI101	5632	---
241.684	0	241685	STI101	5632	---
243.395	0	243396	STI101	2	Cue onset
243.395	0	243396	STI002	5	---
243.395	0	243396	Trigger	2	Cue onset
