onset	duration	sample	type	value	event
14.597	0	14598	STI101	5632	---
20.766	0	20767	STI101	5632	---
23.298	0	23299	STI101	1	Movie onset
23.298	0	23299	STI001	5	---
23.298	0	23299	Trigger	1	Movie onset
29.012	0	29013	STI101	5888	---
34.717	0	34718	STI101	1	Movie onset
34.717	0	34718	STI001	5	---
34.717	0	34718	Trigger	1	Movie onset
40.55	0	40551	STI101	5888	---
46.118	0	46119	STI101	1	Movie onset
46.118	0	46119	STI001	5	---
46.118	0	46119	Trigger	1	Movie onset
51.435	0	51436	STI101	5888	---
56.877	0	56878	STI101	1	Movie onset
56.877	0	56878	STI001	5	---
56.877	0	56878	Trigger	1	Movie onset
62.228	0	62229	STI101	5888	---
67.911	0	67912	STI101	1	Movie onset
67.911	0	67912	STI001	5	---
67.911	0	67912	Trigger	1	Movie onset
73.172	0	73173	STI101	5888	---
78.754	0	78755	STI101	1	Movie onset
78.754	0	78755	STI001	5	---
78.754	0	78755	Trigger	1	Movie onset
84.221	0	84222	STI101	5888	---
89.896	0	89897	STI101	1	Movie onset
89.896	0	89897	STI001	5	---
89.896	0	89897	Trigger	1	Movie onset
95.259	0	95260	STI101	5888	---
100.764	0	100765	STI101	1	Movie onset
100.764	0	100765	STI001	5	---
100.764	0	100765	Trigger	1	Movie onset
106.062	0	106063	STI101	5888	---
111.74	0	111741	STI101	1	Movie onset
111.74	0	111741	STI001	5	---
111.74	0	111741	Trigger	1	Movie onset
117.06	0	117061	STI101	5888	---
122.816	0	122817	STI101	1	Movie onset
122.816	0	122817	STI001	5	---
122.816	0	122817	Trigger	1	Movie onset
127.993	0	127994	STI101	5888	---
133.575	0	133576	STI101	1	Movie onset
133.575	0	133576	STI001	5	---
133.575	0	133576	Trigger	1	Movie onset
138.94	0	138941	STI101	5888	---
144.451	0	144452	STI101	1	Movie onset
144.451	0	144452	STI001	5	---
144.451	0	144452	Trigger	1	Movie onset
149.777	0	149778	STI101	5888	---
153.097	0	153098	STI101	5632	---
155.729	0	155730	STI101	6144	---
158.812	0	158813	STI101	5888	---
160.095	0	160096	STI101	5888	---
161.258	0	161259	STI101	6144	---
162.107	0	162108	STI101	5888	---
163.341	0	163342	STI101	5888	---
164.538	0	164539	STI101	5888	---
165.41	0	165411	STI101	6144	---
166.329	0	166330	STI101	5888	---
167.49	0	167491	STI101	5888	---
168.631	0	168632	STI101	5888	---
169.715	0	169716	STI101	5888	---
170.747	0	170748	STI101	6144	---
171.704	0	171705	STI101	5888	---
172.951	0	172952	STI101	5888	---
174.229	0	174230	STI101	5888	---
175.383	0	175384	STI101	5888	---
176.657	0	176658	STI101	6144	---
177.857	0	177858	STI101	5888	---
179.415	0	179416	STI101	5888	---
181.381	0	181382	STI101	5632	---
182.706	0	182707	STI101	5632	---
184.41	0	184411	STI101	2	Cue onset
184.41	0	184411	STI002	5	---
184.41	0	184411	Trigger	2	Cue onset
189.696	0	189697	STI101	5888	---
189.698	0	189699	STI101	5892	---
189.698	0	189699	STI003	5	---
189.698	0	189699	Trigger	4	Sound1 onset
194.997	0	194998	STI101	6144	---
194.998	0	194999	STI101	6152	---
194.998	0	194999	STI004	5	---
194.998	0	194999	Trigger	8	Sound2 onset
200.114	0	200115	STI101	16	Probe response
200.114	0	200115	STI005	5	---
200.114	0	200115	Trigger	16	Probe response
200.5	0	200501	STI101	5888	---
202.342	0	202343	STI101	2	Cue onset
202.342	0	202343	STI002	5	---
202.342	0	202343	Trigger	2	Cue onset
207.637	0	207638	STI101	5888	---
207.64	0	207641	STI101	5892	---
207.64	0	207641	STI003	5	---
207.64	0	207641	Trigger	4	Sound1 onset
213.052	0	213053	STI101	6144	---
213.054	0	213055	STI101	6152	---
213.054	0	213055	STI004	5	---
213.054	0	213055	Trigger	8	Sound2 onset
218.17	0	218171	STI101	16	Probe response
218.17	0	218171	STI005	5	---
218.17	0	218171	Trigger	16	Probe response
218.616	0	218617	STI101	5888	---
220.382	0	220383	STI101	2	Cue onset
220.382	0	220383	STI002	5	---
220.382	0	220383	Trigger	2	Cue onset
225.842	0	225843	STI101	5888	---
225.844	0	225845	STI101	5892	---
225.844	0	225845	STI003	5	---
225.844	0	225845	Trigger	4	Sound1 onset
231.082	0	231083	STI101	6144	---
231.084	0	231085	STI101	6152	---
231.084	0	231085	STI004	5	---
231.084	0	231085	Trigger	8	Sound2 onset
236.199	0	236200	STI101	16	Probe response
236.199	0	236200	STI005	5	---
236.199	0	236200	Trigger	16	Probe response
236.487	0	236488	STI101	5888	---
238.155	0	238156	STI101	2	Cue onset
238.155	0	238156	STI002	5	---
238.155	0	238156	Trigger	2	Cue onset
243.485	0	243486	STI101	5888	---
243.487	0	243488	STI101	5892	---
243.487	0	243488	STI003	5	---
243.487	0	243488	Trigger	4	Sound1 onset
248.749	0	248750	STI101	6144	---
248.751	0	248752	STI101	6152	---
248.751	0	248752	STI004	5	---
248.751	0	248752	Trigger	8	Sound2 onset
253.867	0	253868	STI101	16	Probe response
253.867	0	253868	STI005	5	---
253.867	0	253868	Trigger	16	Probe response
254.099	0	254100	STI101	5888	---
255.745	0	255746	STI101	2	Cue onset
255.745	0	255746	STI002	5	---
255.745	0	255746	Trigger	2	Cue onset
261.054	0	261055	STI101	5888	---
261.056	0	261057	STI101	5892	---
261.056	0	261057	STI003	5	---
261.056	0	261057	Trigger	4	Sound1 onset
266.576	0	266577	STI101	4096	---
266.577	0	266578	STI101	6144	---
266.578	0	266579	STI101	6152	---
266.578	0	266579	STI004	5	---
266.578	0	266579	Trigger	8	Sound2 onset
271.694	0	271695	STI101	16	Probe response
271.694	0	271695	STI005	5	---
271.694	0	271695	Trigger	16	Probe response
274.75	0	274751	STI101	6144	---
276.463	0	276464	STI101	2	Cue onset
276.463	0	276464	STI002	5	---
276.463	0	276464	Trigger	2	Cue onset
282.366	0	282367	STI101	5888	---
282.368	0	282369	STI101	5892	---
282.368	0	282369	STI003	5	---
282.368	0	282369	Trigger	4	Sound1 onset
287.603	0	287604	STI101	6144	---
287.605	0	287606	STI101	6152	---
287.605	0	287606	STI004	5	---
287.605	0	287606	Trigger	8	Sound2 onset
292.72	0	292721	STI101	16	Probe response
292.72	0	292721	STI005	5	---
292.72	0	292721	Trigger	16	Probe response
292.968	0	292969	STI101	5888	---
294.619	0	294620	STI101	2	Cue onset
294.619	0	294620	STI002	5	---
294.619	0	294620	Trigger	2	Cue onset
300.147	0	300148	STI101	5888	---
300.148	0	300149	STI101	5892	---
300.148	0	300149	STI003	5	---
300.148	0	300149	Trigger	4	Sound1 onset
306.766	0	306767	STI101	6144	---
306.767	0	306768	STI101	6152	---
306.767	0	306768	STI004	5	---
306.767	0	306768	Trigger	8	Sound2 onset
311.882	0	311883	STI101	16	Probe response
311.882	0	311883	STI005	5	---
311.882	0	311883	Trigger	16	Probe response
312.258	0	312259	STI101	5888	---
314.086	0	314087	STI101	2	Cue onset
314.086	0	314087	STI002	5	---
314.086	0	314087	Trigger	2	Cue onset
319.37	0	319371	STI101	5888	---
319.371	0	319372	STI101	5892	---
319.371	0	319372	STI003	5	---
319.371	0	319372	Trigger	4	Sound1 onset
324.529	0	324530	STI101	6144	---
324.53	0	324531	STI101	6152	---
324.53	0	324531	STI004	5	---
324.53	0	324531	Trigger	8	Sound2 onset
329.646	0	329647	STI101	16	Probe response
329.646	0	329647	STI005	5	---
329.646	0	329647	Trigger	16	Probe response
329.888	0	329889	STI101	6144	---
331.509	0	331510	STI101	2	Cue onset
331.509	0	331510	STI002	5	---
331.509	0	331510	Trigger	2	Cue onset
337.063	0	337064	STI101	5888	---
337.065	0	337066	STI101	5892	---
337.065	0	337066	STI003	5	---
337.065	0	337066	Trigger	4	Sound1 onset
344.393	0	344394	STI101	6144	---
344.394	0	344395	STI101	6152	---
344.394	0	344395	STI004	5	---
344.394	0	344395	Trigger	8	Sound2 onset
349.51	0	349511	STI101	16	Probe response
349.51	0	349511	STI005	5	---
349.51	0	349511	Trigger	16	Probe response
349.525	0	349526	STI101	6144	---
351.309	0	351310	STI101	2	Cue onset
351.309	0	351310	STI002	5	---
351.309	0	351310	Trigger	2	Cue onset
356.413	0	356414	STI101	5888	---
356.415	0	356416	STI101	5892	---
356.415	0	356416	STI003	5	---
356.415	0	356416	Trigger	4	Sound1 onset
362.093	0	362094	STI101	6144	---
362.094	0	362095	STI101	6152	---
362.094	0	362095	STI004	5	---
362.094	0	362095	Trigger	8	Sound2 onset
367.122	0	367123	STI101	5888	---
367.21	0	367211	STI101	5904	---
367.21	0	367211	STI005	5	---
367.21	0	367211	Trigger	16	Probe response
369.854	0	369855	STI101	5888	---
