onset	duration	sample	type	value	event
6.055	0	6056	STI101	5632	---
7.58	0	7581	STI101	5632	---
8.787	0	8788	STI101	5632	---
9.182	0	9183	STI101	5632	---
10.22	0	10221	STI101	5632	---
12.857	0	12858	STI101	1	Movie onset
12.857	0	12858	STI001	5	---
12.857	0	12858	Trigger	1	Movie onset
20.244	0	20245	STI101	5888	---
25.751	0	25752	STI101	1	Movie onset
25.751	0	25752	STI001	5	---
25.751	0	25752	Trigger	1	Movie onset
32.972	0	32973	STI101	5888	---
38.571	0	38572	STI101	1	Movie onset
38.571	0	38572	STI001	5	---
38.571	0	38572	Trigger	1	Movie onset
46.634	0	46635	STI101	4096	---
48.44	0	48441	STI101	6144	---
54.034	0	54035	STI101	1	Movie onset
54.034	0	54035	STI001	5	---
54.034	0	54035	Trigger	1	Movie onset
59.479	0	59480	STI101	5888	---
64.884	0	64885	STI101	1	Movie onset
64.884	0	64885	STI001	5	---
64.884	0	64885	Trigger	1	Movie onset
71.422	0	71423	STI101	5888	---
76.886	0	76887	STI101	1	Movie onset
76.886	0	76887	STI001	5	---
76.886	0	76887	Trigger	1	Movie onset
83.124	0	83125	STI101	5888	---
88.746	0	88747	STI101	1	Movie onset
88.746	0	88747	STI001	5	---
88.746	0	88747	Trigger	1	Movie onset
94.889	0	94890	STI101	5888	---
100.331	0	100332	STI101	1	Movie onset
100.331	0	100332	STI001	5	---
100.331	0	100332	Trigger	1	Movie onset
102.181	0	102182	STI101	6144	---
105.91	0	105911	STI101	6144	---
109.972	0	109973	STI101	4096	---
111.366	0	111367	STI101	1	Movie onset
111.366	0	111367	STI001	5	---
111.366	0	111367	Trigger	1	Movie onset
118.581	0	118582	STI101	5888	---
123.968	0	123969	STI101	1	Movie onset
123.968	0	123969	STI001	5	---
123.968	0	123969	Trigger	1	Movie onset
132.49	0	132491	STI101	5888	---
137.98	0	137981	STI101	1	Movie onset
137.98	0	137981	STI001	5	---
137.98	0	137981	Trigger	1	Movie onset
143.654	0	143655	STI101	5888	---
149.014	0	149015	STI101	1	Movie onset
149.014	0	149015	STI001	5	---
149.014	0	149015	Trigger	1	Movie onset
150.704	0	150705	STI101	6400	---
152.431	0	152432	STI101	6400	---
155.162	0	155163	STI101	6400	---
157.159	0	157160	STI101	6400	---
157.352	0	157353	STI101	5888	---
161.096	0	161097	STI101	5632	---
166.004	0	166005	STI101	5888	---
167.289	0	167290	STI101	6144	---
168.483	0	168484	STI101	5888	---
170.037	0	170038	STI101	5888	---
171.349	0	171350	STI101	6144	---
172.518	0	172519	STI101	5888	---
173.632	0	173633	STI101	5888	---
174.717	0	174718	STI101	5888	---
175.916	0	175917	STI101	5888	---
177.192	0	177193	STI101	5888	---
178.383	0	178384	STI101	5888	---
179.815	0	179816	STI101	5888	---
181.653	0	181654	STI101	6144	---
183.686	0	183687	STI101	6144	---
185.112	0	185113	STI101	5888	---
186.74	0	186741	STI101	6144	---
188.235	0	188236	STI101	5888	---
190.952	0	190953	STI101	5888	---
192.479	0	192480	STI101	5888	---
193.59	0	193591	STI101	5888	---
196.709	0	196710	STI101	5632	---
200.299	0	200300	STI101	5632	---
202.076	0	202077	STI101	2	Cue onset
202.076	0	202077	STI002	5	---
202.076	0	202077	Trigger	2	Cue onset
202.702	0	202703	STI101	5888	---
203.846	0	203847	STI101	5888	---
204.562	0	204563	STI101	5888	---
205.001	0	205002	STI101	5888	---
205.342	0	205343	STI101	5888	---
205.678	0	205679	STI101	5888	---
205.96	0	205961	STI101	5888	---
206.252	0	206253	STI101	5888	---
206.532	0	206533	STI101	5888	---
206.812	0	206813	STI101	5888	---
207.09	0	207091	STI101	5888	---
207.096	0	207097	STI101	5892	---
207.096	0	207097	STI003	5	---
207.096	0	207097	Trigger	4	Sound1 onset
213.686	0	213687	STI101	6144	---
213.687	0	213688	STI101	6152	---
213.687	0	213688	STI004	5	---
213.687	0	213688	Trigger	8	Sound2 onset
218.802	0	218803	STI101	16	Probe response
218.802	0	218803	STI005	5	---
218.802	0	218803	Trigger	16	Probe response
219.549	0	219550	STI101	6144	---
221.183	0	221184	STI101	2	Cue onset
221.183	0	221184	STI002	5	---
221.183	0	221184	Trigger	2	Cue onset
