onset	duration	sample	type	value	event
15.179	0	15180	STI101	5632	---
17.583	0	17584	STI101	32	Localiser Movie onset
17.583	0	17584	STI006	5	---
17.583	0	17584	Trigger	32	Localiser Movie onset
27.708	0	27709	STI101	32	Localiser Movie onset
27.708	0	27709	STI006	5	---
27.708	0	27709	Trigger	32	Localiser Movie onset
32.345	0	32346	STI101	5888	---
37.842	0	37843	STI101	32	Localiser Movie onset
37.842	0	37843	STI006	5	---
37.842	0	37843	Trigger	32	Localiser Movie onset
47.883	0	47884	STI101	32	Localiser Movie onset
47.883	0	47884	STI006	5	---
47.883	0	47884	Trigger	32	Localiser Movie onset
58.067	0	58068	STI101	32	Localiser Movie onset
58.067	0	58068	STI006	5	---
58.067	0	58068	Trigger	32	Localiser Movie onset
68.259	0	68260	STI101	32	Localiser Movie onset
68.259	0	68260	STI006	5	---
68.259	0	68260	Trigger	32	Localiser Movie onset
78.234	0	78235	STI101	32	Localiser Movie onset
78.234	0	78235	STI006	5	---
78.234	0	78235	Trigger	32	Localiser Movie onset
88.226	0	88227	STI101	32	Localiser Movie onset
88.226	0	88227	STI006	5	---
88.226	0	88227	Trigger	32	Localiser Movie onset
98.417	0	98418	STI101	32	Localiser Movie onset
98.417	0	98418	STI006	5	---
98.417	0	98418	Trigger	32	Localiser Movie onset
108.534	0	108535	STI101	32	Localiser Movie onset
108.534	0	108535	STI006	5	---
108.534	0	108535	Trigger	32	Localiser Movie onset
118.66	0	118661	STI101	32	Localiser Movie onset
118.66	0	118661	STI006	5	---
118.66	0	118661	Trigger	32	Localiser Movie onset
128.668	0	128669	STI101	32	Localiser Movie onset
128.668	0	128669	STI006	5	---
128.668	0	128669	Trigger	32	Localiser Movie onset
138.818	0	138819	STI101	32	Localiser Movie onset
138.818	0	138819	STI006	5	---
138.818	0	138819	Trigger	32	Localiser Movie onset
149.01	0	149011	STI101	32	Localiser Movie onset
149.01	0	149011	STI006	5	---
149.01	0	149011	Trigger	32	Localiser Movie onset
159.01	0	159011	STI101	32	Localiser Movie onset
159.01	0	159011	STI006	5	---
159.01	0	159011	Trigger	32	Localiser Movie onset
