onset	duration	sample	type	value	event
13.697	0	13698	STI101	5632	---
15.509	0	15510	STI101	5632	---
17.301	0	17302	STI101	5632	---
19.391	0	19392	STI101	5632	---
21.985	0	21986	STI101	1	Movie onset
21.985	0	21986	STI001	5	---
21.985	0	21986	Trigger	1	Movie onset
22.349	0	22350	STI101	5632	---
28.276	0	28277	STI101	5888	---
33.97	0	33971	STI101	1	Movie onset
33.97	0	33971	STI001	5	---
33.97	0	33971	Trigger	1	Movie onset
39.368	0	39369	STI101	6144	---
45.088	0	45089	STI101	1	Movie onset
45.088	0	45089	STI001	5	---
45.088	0	45089	Trigger	1	Movie onset
51.276	0	51277	STI101	6144	---
56.781	0	56782	STI101	1	Movie onset
56.781	0	56782	STI001	5	---
56.781	0	56782	Trigger	1	Movie onset
62.139	0	62140	STI101	5888	---
67.707	0	67708	STI101	1	Movie onset
67.707	0	67708	STI001	5	---
67.707	0	67708	Trigger	1	Movie onset
72.978	0	72979	STI101	5888	---
78.399	0	78400	STI101	1	Movie onset
78.399	0	78400	STI001	5	---
78.399	0	78400	Trigger	1	Movie onset
83.92	0	83921	STI101	5888	---
89.584	0	89585	STI101	1	Movie onset
89.584	0	89585	STI001	5	---
89.584	0	89585	Trigger	1	Movie onset
95.417	0	95418	STI101	5888	---
100.927	0	100928	STI101	1	Movie onset
100.927	0	100928	STI001	5	---
100.927	0	100928	Trigger	1	Movie onset
106.366	0	106367	STI101	5888	---
109.233	0	109234	STI101	5632	---
112.11	0	112111	STI101	5888	---
113.207	0	113208	STI101	5888	---
114.233	0	114234	STI101	5888	---
115.359	0	115360	STI101	6144	---
116.462	0	116463	STI101	5888	---
117.562	0	117563	STI101	5888	---
118.58	0	118581	STI101	6144	---
119.696	0	119697	STI101	5888	---
120.779	0	120780	STI101	5888	---
121.925	0	121926	STI101	6144	---
123.119	0	123120	STI101	6144	---
124.151	0	124152	STI101	5888	---
125.154	0	125155	STI101	6144	---
126.238	0	126239	STI101	6144	---
127.272	0	127273	STI101	5888	---
128.601	0	128602	STI101	5888	---
129.705	0	129706	STI101	5888	---
130.769	0	130770	STI101	6144	---
131.782	0	131783	STI101	5888	---
132.748	0	132749	STI101	6144	---
