onset	duration	sample	type	value	event
3.63	0	3631	STI101	5632	---
5.189	0	5190	STI101	64	Localiser Sound onset
5.189	0	5190	STI007	5	---
5.189	0	5190	Trigger	64	Localiser Sound onset
11.903	0	11904	STI101	64	Localiser Sound onset
11.903	0	11904	STI007	5	---
11.903	0	11904	Trigger	64	Localiser Sound onset
18.617	0	18618	STI101	64	Localiser Sound onset
18.617	0	18618	STI007	5	---
18.617	0	18618	Trigger	64	Localiser Sound onset
25.206	0	25207	STI101	64	Localiser Sound onset
25.206	0	25207	STI007	5	---
25.206	0	25207	Trigger	64	Localiser Sound onset
31.845	0	31846	STI101	64	Localiser Sound onset
31.845	0	31846	STI007	5	---
31.845	0	31846	Trigger	64	Localiser Sound onset
38.467	0	38468	STI101	64	Localiser Sound onset
38.467	0	38468	STI007	5	---
38.467	0	38468	Trigger	64	Localiser Sound onset
45.173	0	45174	STI101	64	Localiser Sound onset
45.173	0	45174	STI007	5	---
45.173	0	45174	Trigger	64	Localiser Sound onset
51.795	0	51796	STI101	64	Localiser Sound onset
51.795	0	51796	STI007	5	---
51.795	0	51796	Trigger	64	Localiser Sound onset
58.517	0	58518	STI101	64	Localiser Sound onset
58.517	0	58518	STI007	5	---
58.517	0	58518	Trigger	64	Localiser Sound onset
60.907	0	60908	STI101	5888	---
65.148	0	65149	STI101	64	Localiser Sound onset
65.148	0	65149	STI007	5	---
65.148	0	65149	Trigger	64	Localiser Sound onset
71.804	0	71805	STI101	64	Localiser Sound onset
71.804	0	71805	STI007	5	---
71.804	0	71805	Trigger	64	Localiser Sound onset
78.409	0	78410	STI101	64	Localiser Sound onset
78.409	0	78410	STI007	5	---
78.409	0	78410	Trigger	64	Localiser Sound onset
85.015	0	85016	STI101	64	Localiser Sound onset
85.015	0	85016	STI007	5	---
85.015	0	85016	Trigger	64	Localiser Sound onset
91.687	0	91688	STI101	64	Localiser Sound onset
91.687	0	91688	STI007	5	---
91.687	0	91688	Trigger	64	Localiser Sound onset
98.368	0	98369	STI101	64	Localiser Sound onset
98.368	0	98369	STI007	5	---
98.368	0	98369	Trigger	64	Localiser Sound onset
102.334	0	102335	STI101	5888	---
104.973	0	104974	STI101	64	Localiser Sound onset
104.973	0	104974	STI007	5	---
104.973	0	104974	Trigger	64	Localiser Sound onset
111.687	0	111688	STI101	64	Localiser Sound onset
111.687	0	111688	STI007	5	---
111.687	0	111688	Trigger	64	Localiser Sound onset
118.435	0	118436	STI101	64	Localiser Sound onset
118.435	0	118436	STI007	5	---
118.435	0	118436	Trigger	64	Localiser Sound onset
124.999	0	125000	STI101	64	Localiser Sound onset
124.999	0	125000	STI007	5	---
124.999	0	125000	Trigger	64	Localiser Sound onset
131.737	0	131738	STI101	64	Localiser Sound onset
131.737	0	131738	STI007	5	---
131.737	0	131738	Trigger	64	Localiser Sound onset
138.36	0	138361	STI101	64	Localiser Sound onset
138.36	0	138361	STI007	5	---
138.36	0	138361	Trigger	64	Localiser Sound onset
144.94	0	144941	STI101	64	Localiser Sound onset
144.94	0	144941	STI007	5	---
144.94	0	144941	Trigger	64	Localiser Sound onset
151.754	0	151755	STI101	64	Localiser Sound onset
151.754	0	151755	STI007	5	---
151.754	0	151755	Trigger	64	Localiser Sound onset
158.41	0	158411	STI101	64	Localiser Sound onset
158.41	0	158411	STI007	5	---
158.41	0	158411	Trigger	64	Localiser Sound onset
164.982	0	164983	STI101	64	Localiser Sound onset
164.982	0	164983	STI007	5	---
164.982	0	164983	Trigger	64	Localiser Sound onset
171.596	0	171597	STI101	64	Localiser Sound onset
171.596	0	171597	STI007	5	---
171.596	0	171597	Trigger	64	Localiser Sound onset
178.293	0	178294	STI101	64	Localiser Sound onset
178.293	0	178294	STI007	5	---
178.293	0	178294	Trigger	64	Localiser Sound onset
185.041	0	185042	STI101	64	Localiser Sound onset
185.041	0	185042	STI007	5	---
185.041	0	185042	Trigger	64	Localiser Sound onset
191.755	0	191756	STI101	64	Localiser Sound onset
191.755	0	191756	STI007	5	---
191.755	0	191756	Trigger	64	Localiser Sound onset
198.377	0	198378	STI101	64	Localiser Sound onset
198.377	0	198378	STI007	5	---
198.377	0	198378	Trigger	64	Localiser Sound onset
205.008	0	205009	STI101	64	Localiser Sound onset
205.008	0	205009	STI007	5	---
205.008	0	205009	Trigger	64	Localiser Sound onset
211.805	0	211806	STI101	64	Localiser Sound onset
211.805	0	211806	STI007	5	---
211.805	0	211806	Trigger	64	Localiser Sound onset
214.398	0	214399	STI101	5888	---
218.594	0	218595	STI101	64	Localiser Sound onset
218.594	0	218595	STI007	5	---
218.594	0	218595	Trigger	64	Localiser Sound onset
225.358	0	225359	STI101	64	Localiser Sound onset
225.358	0	225359	STI007	5	---
225.358	0	225359	Trigger	64	Localiser Sound onset
228.486	0	228487	STI101	5888	---
231.93	0	231931	STI101	64	Localiser Sound onset
231.93	0	231931	STI007	5	---
231.93	0	231931	Trigger	64	Localiser Sound onset
238.678	0	238679	STI101	64	Localiser Sound onset
238.678	0	238679	STI007	5	---
238.678	0	238679	Trigger	64	Localiser Sound onset
245.225	0	245226	STI101	64	Localiser Sound onset
245.225	0	245226	STI007	5	---
245.225	0	245226	Trigger	64	Localiser Sound onset
251.797	0	251798	STI101	64	Localiser Sound onset
251.797	0	251798	STI007	5	---
251.797	0	251798	Trigger	64	Localiser Sound onset
255.317	0	255318	STI101	5888	---
258.544	0	258545	STI101	64	Localiser Sound onset
258.544	0	258545	STI007	5	---
258.544	0	258545	Trigger	64	Localiser Sound onset
262.36	0	262361	STI101	5888	---
265.192	0	265193	STI101	64	Localiser Sound onset
265.192	0	265193	STI007	5	---
265.192	0	265193	Trigger	64	Localiser Sound onset
271.739	0	271740	STI101	64	Localiser Sound onset
271.739	0	271740	STI007	5	---
271.739	0	271740	Trigger	64	Localiser Sound onset
278.478	0	278479	STI101	64	Localiser Sound onset
278.478	0	278479	STI007	5	---
278.478	0	278479	Trigger	64	Localiser Sound onset
285.25	0	285251	STI101	64	Localiser Sound onset
285.25	0	285251	STI007	5	---
285.25	0	285251	Trigger	64	Localiser Sound onset
291.848	0	291849	STI101	64	Localiser Sound onset
291.848	0	291849	STI007	5	---
291.848	0	291849	Trigger	64	Localiser Sound onset
298.411	0	298412	STI101	64	Localiser Sound onset
298.411	0	298412	STI007	5	---
298.411	0	298412	Trigger	64	Localiser Sound onset
305.159	0	305160	STI101	64	Localiser Sound onset
305.159	0	305160	STI007	5	---
305.159	0	305160	Trigger	64	Localiser Sound onset
311.881	0	311882	STI101	64	Localiser Sound onset
311.881	0	311882	STI007	5	---
311.881	0	311882	Trigger	64	Localiser Sound onset
318.428	0	318429	STI101	64	Localiser Sound onset
318.428	0	318429	STI007	5	---
318.428	0	318429	Trigger	64	Localiser Sound onset
324.976	0	324977	STI101	64	Localiser Sound onset
324.976	0	324977	STI007	5	---
324.976	0	324977	Trigger	64	Localiser Sound onset
331.631	0	331632	STI101	64	Localiser Sound onset
331.631	0	331632	STI007	5	---
331.631	0	331632	Trigger	64	Localiser Sound onset
338.278	0	338279	STI101	64	Localiser Sound onset
338.278	0	338279	STI007	5	---
338.278	0	338279	Trigger	64	Localiser Sound onset
341.099	0	341100	STI101	5888	---
344.892	0	344893	STI101	64	Localiser Sound onset
344.892	0	344893	STI007	5	---
344.892	0	344893	Trigger	64	Localiser Sound onset
351.623	0	351624	STI101	64	Localiser Sound onset
351.623	0	351624	STI007	5	---
351.623	0	351624	Trigger	64	Localiser Sound onset
353.223	0	353224	STI101	5888	---
358.379	0	358380	STI101	64	Localiser Sound onset
358.379	0	358380	STI007	5	---
358.379	0	358380	Trigger	64	Localiser Sound onset
365.068	0	365069	STI101	64	Localiser Sound onset
365.068	0	365069	STI007	5	---
365.068	0	365069	Trigger	64	Localiser Sound onset
371.865	0	371866	STI101	64	Localiser Sound onset
371.865	0	371866	STI007	5	---
371.865	0	371866	Trigger	64	Localiser Sound onset
378.637	0	378638	STI101	64	Localiser Sound onset
378.637	0	378638	STI007	5	---
378.637	0	378638	Trigger	64	Localiser Sound onset
385.26	0	385261	STI101	64	Localiser Sound onset
385.26	0	385261	STI007	5	---
385.26	0	385261	Trigger	64	Localiser Sound onset
391.89	0	391891	STI101	64	Localiser Sound onset
391.89	0	391891	STI007	5	---
391.89	0	391891	Trigger	64	Localiser Sound onset
398.663	0	398664	STI101	64	Localiser Sound onset
398.663	0	398664	STI007	5	---
398.663	0	398664	Trigger	64	Localiser Sound onset
405.302	0	405303	STI101	64	Localiser Sound onset
405.302	0	405303	STI007	5	---
405.302	0	405303	Trigger	64	Localiser Sound onset
412.049	0	412050	STI101	64	Localiser Sound onset
412.049	0	412050	STI007	5	---
412.049	0	412050	Trigger	64	Localiser Sound onset
418.738	0	418739	STI101	64	Localiser Sound onset
418.738	0	418739	STI007	5	---
418.738	0	418739	Trigger	64	Localiser Sound onset
425.469	0	425470	STI101	64	Localiser Sound onset
