onset	duration	sample	type	value	event
20.671	0	20672	STI101	1	Movie onset
20.671	0	20672	STI001	5	---
20.671	0	20672	Trigger	1	Movie onset
27.613	0	27614	STI101	5888	---
33.197	0	33198	STI101	1	Movie onset
33.197	0	33198	STI001	5	---
33.197	0	33198	Trigger	1	Movie onset
39.343	0	39344	STI101	5888	---
44.757	0	44758	STI101	1	Movie onset
44.757	0	44758	STI001	5	---
44.757	0	44758	Trigger	1	Movie onset
51.938	0	51939	STI101	5888	---
57.468	0	57469	STI101	1	Movie onset
57.468	0	57469	STI001	5	---
57.468	0	57469	Trigger	1	Movie onset
63.321	0	63322	STI101	5888	---
68.853	0	68854	STI101	1	Movie onset
68.853	0	68854	STI001	5	---
68.853	0	68854	Trigger	1	Movie onset
74.554	0	74555	STI101	6144	---
80.137	0	80138	STI101	1	Movie onset
80.137	0	80138	STI001	5	---
80.137	0	80138	Trigger	1	Movie onset
85.724	0	85725	STI101	6144	---
91.263	0	91264	STI101	1	Movie onset
91.263	0	91264	STI001	5	---
91.263	0	91264	Trigger	1	Movie onset
96.746	0	96747	STI101	5888	---
102.181	0	102182	STI101	1	Movie onset
102.181	0	102182	STI001	5	---
102.181	0	102182	Trigger	1	Movie onset
107.889	0	107890	STI101	6144	---
113.348	0	113349	STI101	1	Movie onset
113.348	0	113349	STI001	5	---
113.348	0	113349	Trigger	1	Movie onset
119.23	0	119231	STI101	6144	---
124.816	0	124817	STI101	1	Movie onset
124.816	0	124817	STI001	5	---
124.816	0	124817	Trigger	1	Movie onset
130.186	0	130187	STI101	6144	---
135.734	0	135735	STI101	1	Movie onset
135.734	0	135735	STI001	5	---
135.734	0	135735	Trigger	1	Movie onset
141.326	0	141327	STI101	5888	---
146.868	0	146869	STI101	1	Movie onset
146.868	0	146869	STI001	5	---
146.868	0	146869	Trigger	1	Movie onset
152.345	0	152346	STI101	6144	---
157.744	0	157745	STI101	1	Movie onset
157.744	0	157745	STI001	5	---
157.744	0	157745	Trigger	1	Movie onset
164.244	0	164245	STI101	6144	---
169.696	0	169697	STI101	1	Movie onset
169.696	0	169697	STI001	5	---
169.696	0	169697	Trigger	1	Movie onset
175.762	0	175763	STI101	5888	---
181.247	0	181248	STI101	1	Movie onset
181.247	0	181248	STI001	5	---
181.247	0	181248	Trigger	1	Movie onset
187.239	0	187240	STI101	5888	---
192.69	0	192691	STI101	1	Movie onset
192.69	0	192691	STI001	5	---
192.69	0	192691	Trigger	1	Movie onset
198.236	0	198237	STI101	5888	---
205.981	0	205982	STI101	5632	---
208.53	0	208531	STI101	5888	---
209.618	0	209619	STI101	5888	---
210.59	0	210591	STI101	6144	---
212.003	0	212004	STI101	5888	---
213.162	0	213163	STI101	5888	---
214.262	0	214263	STI101	5888	---
215.287	0	215288	STI101	6144	---
216.479	0	216480	STI101	6144	---
217.54	0	217541	STI101	5888	---
218.626	0	218627	STI101	6144	---
219.781	0	219782	STI101	5888	---
220.89	0	220891	STI101	6144	---
222.105	0	222106	STI101	5888	---
223.369	0	223370	STI101	6144	---
224.492	0	224493	STI101	6144	---
225.606	0	225607	STI101	5888	---
227.041	0	227042	STI101	6144	---
228.1	0	228101	STI101	6144	---
