onset	duration	sample	type	value	event
11.114	0	11115	STI101	5632	---
24.241	0	24242	STI101	5632	---
26.808	0	26809	STI101	1	Movie onset
26.808	0	26809	STI001	5	---
26.808	0	26809	Trigger	1	Movie onset
33.154	0	33155	STI101	5888	---
38.701	0	38702	STI101	1	Movie onset
38.701	0	38702	STI001	5	---
38.701	0	38702	Trigger	1	Movie onset
44.155	0	44156	STI101	5888	---
49.677	0	49678	STI101	1	Movie onset
49.677	0	49678	STI001	5	---
49.677	0	49678	Trigger	1	Movie onset
55.122	0	55123	STI101	5888	---
60.745	0	60746	STI101	1	Movie onset
60.745	0	60746	STI001	5	---
60.745	0	60746	Trigger	1	Movie onset
66.327	0	66328	STI101	5888	---
71.662	0	71663	STI101	1	Movie onset
71.662	0	71663	STI001	5	---
71.662	0	71663	Trigger	1	Movie onset
77.046	0	77047	STI101	5888	---
82.505	0	82506	STI101	1	Movie onset
82.505	0	82506	STI001	5	---
82.505	0	82506	Trigger	1	Movie onset
87.945	0	87946	STI101	5888	---
93.397	0	93398	STI101	1	Movie onset
93.397	0	93398	STI001	5	---
93.397	0	93398	Trigger	1	Movie onset
98.917	0	98918	STI101	5888	---
104.457	0	104458	STI101	1	Movie onset
104.457	0	104458	STI001	5	---
104.457	0	104458	Trigger	1	Movie onset
109.973	0	109974	STI101	5888	---
115.374	0	115375	STI101	1	Movie onset
115.374	0	115375	STI001	5	---
115.374	0	115375	Trigger	1	Movie onset
120.863	0	120864	STI101	5888	---
126.242	0	126243	STI101	1	Movie onset
126.242	0	126243	STI001	5	---
126.242	0	126243	Trigger	1	Movie onset
131.836	0	131837	STI101	6144	---
137.284	0	137285	STI101	1	Movie onset
137.284	0	137285	STI001	5	---
137.284	0	137285	Trigger	1	Movie onset
142.567	0	142568	STI101	5888	---
147.935	0	147936	STI101	1	Movie onset
147.935	0	147936	STI001	5	---
147.935	0	147936	Trigger	1	Movie onset
153.257	0	153258	STI101	5888	---
158.694	0	158695	STI101	1	Movie onset
158.694	0	158695	STI001	5	---
158.694	0	158695	Trigger	1	Movie onset
163.846	0	163847	STI101	5888	---
169.495	0	169496	STI101	1	Movie onset
169.495	0	169496	STI001	5	---
169.495	0	169496	Trigger	1	Movie onset
175.217	0	175218	STI101	5888	---
180.579	0	180580	STI101	1	Movie onset
180.579	0	180580	STI001	5	---
180.579	0	180580	Trigger	1	Movie onset
186.227	0	186228	STI101	5888	---
191.881	0	191882	STI101	1	Movie onset
191.881	0	191882	STI001	5	---
191.881	0	191882	Trigger	1	Movie onset
197.083	0	197084	STI101	5888	---
202.439	0	202440	STI101	1	Movie onset
202.439	0	202440	STI001	5	---
202.439	0	202440	Trigger	1	Movie onset
208.149	0	208150	STI101	5888	---
213.716	0	213717	STI101	1	Movie onset
213.716	0	213717	STI001	5	---
213.716	0	213717	Trigger	1	Movie onset
219.175	0	219176	STI101	5888	---
224.783	0	224784	STI101	1	Movie onset
224.783	0	224784	STI001	5	---
224.783	0	224784	Trigger	1	Movie onset
230.087	0	230088	STI101	5888	---
235.726	0	235727	STI101	1	Movie onset
235.726	0	235727	STI001	5	---
235.726	0	235727	Trigger	1	Movie onset
241.11	0	241111	STI101	5888	---
246.793	0	246794	STI101	1	Movie onset
246.793	0	246794	STI001	5	---
246.793	0	246794	Trigger	1	Movie onset
252.003	0	252004	STI101	5888	---
257.544	0	257545	STI101	1	Movie onset
257.544	0	257545	STI001	5	---
257.544	0	257545	Trigger	1	Movie onset
262.879	0	262880	STI101	5888	---
268.47	0	268471	STI101	1	Movie onset
268.47	0	268471	STI001	5	---
268.47	0	268471	Trigger	1	Movie onset
273.807	0	273808	STI101	5888	---
279.404	0	279405	STI101	1	Movie onset
279.404	0	279405	STI001	5	---
279.404	0	279405	Trigger	1	Movie onset
284.619	0	284620	STI101	5888	---
289.963	0	289964	STI101	1	Movie onset
289.963	0	289964	STI001	5	---
289.963	0	289964	Trigger	1	Movie onset
295.136	0	295137	STI101	5888	---
300.639	0	300640	STI101	1	Movie onset
300.639	0	300640	STI001	5	---
300.639	0	300640	Trigger	1	Movie onset
305.788	0	305789	STI101	5888	---
311.223	0	311224	STI101	1	Movie onset
311.223	0	311224	STI001	5	---
311.223	0	311224	Trigger	1	Movie onset
316.572	0	316573	STI101	5888	---
322.182	0	322183	STI101	1	Movie onset
322.182	0	322183	STI001	5	---
322.182	0	322183	Trigger	1	Movie onset
327.448	0	327449	STI101	5888	---
330.339	0	330340	STI101	5632	---
333.247	0	333248	STI101	6144	---
334.475	0	334476	STI101	5888	---
335.515	0	335516	STI101	6144	---
336.652	0	336653	STI101	6144	---
337.673	0	337674	STI101	6144	---
338.664	0	338665	STI101	6144	---
339.871	0	339872	STI101	6144	---
340.916	0	340917	STI101	5888	---
342.038	0	342039	STI101	5888	---
343.22	0	343221	STI101	6144	---
344.371	0	344372	STI101	5888	---
345.495	0	345496	STI101	5888	---
346.637	0	346638	STI101	5888	---
347.83	0	347831	STI101	6144	---
348.929	0	348930	STI101	6144	---
350.103	0	350104	STI101	5888	---
351.388	0	351389	STI101	6144	---
352.579	0	352580	STI101	5888	---
353.833	0	353834	STI101	6144	---
354.856	0	354857	STI101	5888	---
359.075	0	359076	STI101	5632	---
361.002	0	361003	STI101	5632	---
362.641	0	362642	STI101	2	Cue onset
362.641	0	362642	STI002	5	---
362.641	0	362642	Trigger	2	Cue onset
367.928	0	367929	STI101	5888	---
367.93	0	367931	STI101	5892	---
367.93	0	367931	STI003	5	---
367.93	0	367931	Trigger	4	Sound1 onset
373.272	0	373273	STI101	6144	---
373.274	0	373275	STI101	6152	---
373.274	0	373275	STI004	5	---
373.274	0	373275	Trigger	8	Sound2 onset
