onset	duration	sample	type	value	event
0.504	0	505	STI101	1	Movie onset
0.504	0	505	STI001	5	---
0.504	0	505	Trigger	1	Movie onset
0.604	0	605	STI101	3	---
0.604	0	605	STI002	5	---
0.604	0	605	Trigger	2	Cue onset
0.705	0	706	STI101	6	---
0.705	0	706	STI003	5	---
0.705	0	706	Trigger	4	Sound1 onset
0.805	0	806	STI101	12	---
0.805	0	806	STI004	5	---
0.805	0	806	Trigger	8	Sound2 onset
0.906	0	907	STI101	24	---
0.906	0	907	STI005	5	---
0.906	0	907	Trigger	16	Probe response
1.006	0	1007	STI101	48	---
1.006	0	1007	STI006	5	---
1.006	0	1007	Trigger	32	Localiser Movie onset
1.106	0	1107	STI101	96	---
1.206	0	1207	STI101	192	---
44.241	0	44242	STI101	5632	---
46.713	0	46714	STI101	1	Movie onset
46.713	0	46714	STI001	5	---
46.713	0	46714	Trigger	1	Movie onset
52.479	0	52480	STI101	5888	---
58.222	0	58223	STI101	1	Movie onset
58.222	0	58223	STI001	5	---
58.222	0	58223	Trigger	1	Movie onset
63.552	0	63553	STI101	6144	---
69.124	0	69125	STI101	1	Movie onset
69.124	0	69125	STI001	5	---
69.124	0	69125	Trigger	1	Movie onset
74.584	0	74585	STI101	6144	---
79.991	0	79992	STI101	1	Movie onset
79.991	0	79992	STI001	5	---
79.991	0	79992	Trigger	1	Movie onset
85.673	0	85674	STI101	5888	---
91.242	0	91243	STI101	1	Movie onset
91.242	0	91243	STI001	5	---
91.242	0	91243	Trigger	1	Movie onset
96.756	0	96757	STI101	5888	---
102.31	0	102311	STI101	1	Movie onset
102.31	0	102311	STI001	5	---
102.31	0	102311	Trigger	1	Movie onset
108.112	0	108113	STI101	5888	---
113.469	0	113470	STI101	1	Movie onset
113.469	0	113470	STI001	5	---
113.469	0	113470	Trigger	1	Movie onset
119.475	0	119476	STI101	5888	---
124.97	0	124971	STI101	1	Movie onset
124.97	0	124971	STI001	5	---
124.97	0	124971	Trigger	1	Movie onset
130.285	0	130286	STI101	6144	---
135.763	0	135764	STI101	1	Movie onset
135.763	0	135764	STI001	5	---
135.763	0	135764	Trigger	1	Movie onset
