onset	duration	sample	type	value	event
14.117	0	14118	STI101	5632	---
17.001	0	17002	STI101	5632	---
20.773	0	20774	STI101	5632	---
23.237	0	23238	STI101	1	Movie onset
23.237	0	23238	STI001	5	---
23.237	0	23238	Trigger	1	Movie onset
29.929	0	29930	STI101	6144	---
35.589	0	35590	STI101	1	Movie onset
35.589	0	35590	STI001	5	---
35.589	0	35590	Trigger	1	Movie onset
42.078	0	42079	STI101	5888	---
47.541	0	47542	STI101	1	Movie onset
47.541	0	47542	STI001	5	---
47.541	0	47542	Trigger	1	Movie onset
53.669	0	53670	STI101	6144	---
59.217	0	59218	STI101	1	Movie onset
59.217	0	59218	STI001	5	---
59.217	0	59218	Trigger	1	Movie onset
64.761	0	64762	STI101	5888	---
70.36	0	70361	STI101	1	Movie onset
70.36	0	70361	STI001	5	---
70.36	0	70361	Trigger	1	Movie onset
76.21	0	76211	STI101	5888	---
81.719	0	81720	STI101	1	Movie onset
81.719	0	81720	STI001	5	---
81.719	0	81720	Trigger	1	Movie onset
88.449	0	88450	STI101	6144	---
93.922	0	93923	STI101	1	Movie onset
93.922	0	93923	STI001	5	---
93.922	0	93923	Trigger	1	Movie onset
99.874	0	99875	STI101	6144	---
105.248	0	105249	STI101	1	Movie onset
105.248	0	105249	STI001	5	---
105.248	0	105249	Trigger	1	Movie onset
110.775	0	110776	STI101	5888	---
114.578	0	114579	STI101	5632	---
117.821	0	117822	STI101	5888	---
119.4	0	119401	STI101	6144	---
120.54	0	120541	STI101	6144	---
121.6	0	121601	STI101	6144	---
122.68	0	122681	STI101	6144	---
123.823	0	123824	STI101	6144	---
124.912	0	124913	STI101	5888	---
125.995	0	125996	STI101	5888	---
127.417	0	127418	STI101	6144	---
128.774	0	128775	STI101	5888	---
130.082	0	130083	STI101	6144	---
131.524	0	131525	STI101	5888	---
132.9	0	132901	STI101	5888	---
134.249	0	134250	STI101	5888	---
135.424	0	135425	STI101	6144	---
136.954	0	136955	STI101	6144	---
138.78	0	138781	STI101	6144	---
140.121	0	140122	STI101	6144	---
141.504	0	141505	STI101	6144	---
143.226	0	143227	STI101	6144	---
144.909	0	144910	STI101	5632	---
145.571	0	145572	STI101	5632	---
147.02	0	147021	STI101	5632	---
148.709	0	148710	STI101	2	Cue onset
148.709	0	148710	STI002	5	---
148.709	0	148710	Trigger	2	Cue onset
154.529	0	154530	STI101	5888	---
154.53	0	154531	STI101	5892	---
154.53	0	154531	STI003	5	---
154.53	0	154531	Trigger	4	Sound1 onset
159.775	0	159776	STI101	6144	---
159.776	0	159777	STI101	6152	---
159.776	0	159777	STI004	5	---
159.776	0	159777	Trigger	8	Sound2 onset
164.892	0	164893	STI101	16	Probe response
164.892	0	164893	STI005	5	---
164.892	0	164893	Trigger	16	Probe response
165.992	0	165993	STI101	5888	---
167.742	0	167743	STI101	2	Cue onset
167.742	0	167743	STI002	5	---
167.742	0	167743	Trigger	2	Cue onset
173.911	0	173912	STI101	5888	---
173.913	0	173914	STI101	5892	---
173.913	0	173914	STI003	5	---
173.913	0	173914	Trigger	4	Sound1 onset
179.131	0	179132	STI101	6144	---
179.133	0	179134	STI101	6152	---
179.133	0	179134	STI004	5	---
179.133	0	179134	Trigger	8	Sound2 onset
184.247	0	184248	STI101	16	Probe response
184.247	0	184248	STI005	5	---
184.247	0	184248	Trigger	16	Probe response
184.736	0	184737	STI101	5888	---
186.408	0	186409	STI101	2	Cue onset
186.408	0	186409	STI002	5	---
186.408	0	186409	Trigger	2	Cue onset
191.982	0	191983	STI101	5888	---
191.984	0	191985	STI101	5892	---
191.984	0	191985	STI003	5	---
191.984	0	191985	Trigger	4	Sound1 onset
197.25	0	197251	STI101	6144	---
197.251	0	197252	STI101	6152	---
197.251	0	197252	STI004	5	---
197.251	0	197252	Trigger	8	Sound2 onset
202.368	0	202369	STI101	16	Probe response
202.368	0	202369	STI005	5	---
202.368	0	202369	Trigger	16	Probe response
202.706	0	202707	STI101	5888	---
204.523	0	204524	STI101	2	Cue onset
204.523	0	204524	STI002	5	---
204.523	0	204524	Trigger	2	Cue onset
210.326	0	210327	STI101	5888	---
210.327	0	210328	STI101	5892	---
210.327	0	210328	STI003	5	---
210.327	0	210328	Trigger	4	Sound1 onset
215.59	0	215591	STI101	6144	---
215.592	0	215593	STI101	6152	---
215.592	0	215593	STI004	5	---
215.592	0	215593	Trigger	8	Sound2 onset
220.706	0	220707	STI101	16	Probe response
220.706	0	220707	STI005	5	---
220.706	0	220707	Trigger	16	Probe response
221.22	0	221221	STI101	5888	---
222.972	0	222973	STI101	2	Cue onset
222.972	0	222973	STI002	5	---
222.972	0	222973	Trigger	2	Cue onset
228.459	0	228460	STI101	5888	---
228.461	0	228462	STI101	5892	---
228.461	0	228462	STI003	5	---
228.461	0	228462	Trigger	4	Sound1 onset
233.726	0	233727	STI101	6144	---
233.728	0	233729	STI101	6152	---
233.728	0	233729	STI004	5	---
233.728	0	233729	Trigger	8	Sound2 onset
238.844	0	238845	STI101	16	Probe response
238.844	0	238845	STI005	5	---
238.844	0	238845	Trigger	16	Probe response
239.384	0	239385	STI101	6144	---
241.187	0	241188	STI101	2	Cue onset
241.187	0	241188	STI002	5	---
241.187	0	241188	Trigger	2	Cue onset
246.717	0	246718	STI101	5888	---
246.718	0	246719	STI101	5892	---
246.718	0	246719	STI003	5	---
246.718	0	246719	Trigger	4	Sound1 onset
252.369	0	252370	STI101	6144	---
252.37	0	252371	STI101	6152	---
252.37	0	252371	STI004	5	---
252.37	0	252371	Trigger	8	Sound2 onset
257.485	0	257486	STI101	16	Probe response
257.485	0	257486	STI005	5	---
257.485	0	257486	Trigger	16	Probe response
257.842	0	257843	STI101	5888	---
259.62	0	259621	STI101	2	Cue onset
259.62	0	259621	STI002	5	---
259.62	0	259621	Trigger	2	Cue onset
265.11	0	265111	STI101	5888	---
265.111	0	265112	STI101	5892	---
265.111	0	265112	STI003	5	---
265.111	0	265112	Trigger	4	Sound1 onset
270.341	0	270342	STI101	6144	---
270.342	0	270343	STI101	6152	---
270.342	0	270343	STI004	5	---
270.342	0	270343	Trigger	8	Sound2 onset
275.458	0	275459	STI101	16	Probe response
275.458	0	275459	STI005	5	---
275.458	0	275459	Trigger	16	Probe response
275.58	0	275581	STI101	6144	---
277.16	0	277161	STI101	2	Cue onset
277.16	0	277161	STI002	5	---
277.16	0	277161	Trigger	2	Cue onset
282.474	0	282475	STI101	5888	---
282.475	0	282476	STI101	5892	---
282.475	0	282476	STI003	5	---
282.475	0	282476	Trigger	4	Sound1 onset
287.761	0	287762	STI101	6144	---
287.762	0	287763	STI101	6152	---
287.762	0	287763	STI004	5	---
287.762	0	287763	Trigger	8	Sound2 onset
292.878	0	292879	STI101	16	Probe response
292.878	0	292879	STI005	5	---
292.878	0	292879	Trigger	16	Probe response
293.28	0	293281	STI101	6144	---
