onset	duration	sample	type	value	event
7.994	0	7995	STI101	6144	---
7.996	0	7997	STI101	6152	---
7.996	0	7997	STI004	5	---
7.996	0	7997	Trigger	8	Sound2 onset
13.111	0	13112	STI101	16	Probe response
13.111	0	13112	STI005	5	---
13.111	0	13112	Trigger	16	Probe response
22.79	0	22791	STI101	5888	---
24.398	0	24399	STI101	2	Cue onset
24.398	0	24399	STI002	5	---
24.398	0	24399	Trigger	2	Cue onset
31.908	0	31909	STI101	6144	---
31.91	0	31911	STI101	6152	---
31.91	0	31911	STI004	5	---
31.91	0	31911	Trigger	8	Sound2 onset
40.461	0	40462	STI101	5888	---
40.463	0	40464	STI101	5892	---
40.463	0	40464	STI003	5	---
40.463	0	40464	Trigger	4	Sound1 onset
45.479	0	45480	STI101	16	Probe response
45.479	0	45480	STI005	5	---
45.479	0	45480	Trigger	16	Probe response
47.937	0	47938	STI101	6144	---
49.687	0	49688	STI101	2	Cue onset
49.687	0	49688	STI002	5	---
49.687	0	49688	Trigger	2	Cue onset
56.054	0	56055	STI101	6144	---
56.056	0	56057	STI101	6152	---
56.056	0	56057	STI004	5	---
56.056	0	56057	Trigger	8	Sound2 onset
67.143	0	67144	STI101	5888	---
67.145	0	67146	STI101	5892	---
67.145	0	67146	STI003	5	---
67.145	0	67146	Trigger	4	Sound1 onset
72.161	0	72162	STI101	16	Probe response
72.161	0	72162	STI005	5	---
72.161	0	72162	Trigger	16	Probe response
89.637	0	89638	STI101	5888	---
91.372	0	91373	STI101	2	Cue onset
91.372	0	91373	STI002	5	---
91.372	0	91373	Trigger	2	Cue onset
100.48	0	100481	STI101	5888	---
100.481	0	100482	STI101	5892	---
100.481	0	100482	STI003	5	---
100.481	0	100482	Trigger	4	Sound1 onset
106.958	0	106959	STI101	6144	---
106.96	0	106961	STI101	6152	---
106.96	0	106961	STI004	5	---
106.96	0	106961	Trigger	8	Sound2 onset
112.075	0	112076	STI101	16	Probe response
112.075	0	112076	STI005	5	---
112.075	0	112076	Trigger	16	Probe response
119.023	0	119024	STI101	5888	---
120.813	0	120814	STI101	2	Cue onset
120.813	0	120814	STI002	5	---
120.813	0	120814	Trigger	2	Cue onset
131.027	0	131028	STI101	6144	---
131.029	0	131030	STI101	6152	---
131.029	0	131030	STI004	5	---
131.029	0	131030	Trigger	8	Sound2 onset
143.276	0	143277	STI101	5888	---
143.278	0	143279	STI101	5892	---
143.278	0	143279	STI003	5	---
143.278	0	143279	Trigger	4	Sound1 onset
148.293	0	148294	STI101	16	Probe response
148.293	0	148294	STI005	5	---
148.293	0	148294	Trigger	16	Probe response
151.437	0	151438	STI101	6144	---
153.024	0	153025	STI101	2	Cue onset
153.024	0	153025	STI002	5	---
153.024	0	153025	Trigger	2	Cue onset
160.251	0	160252	STI101	6144	---
160.253	0	160254	STI101	6152	---
160.253	0	160254	STI004	5	---
160.253	0	160254	Trigger	8	Sound2 onset
167.893	0	167894	STI101	5888	---
167.894	0	167895	STI101	5892	---
167.894	0	167895	STI003	5	---
167.894	0	167895	Trigger	4	Sound1 onset
172.91	0	172911	STI101	16	Probe response
172.91	0	172911	STI005	5	---
172.91	0	172911	Trigger	16	Probe response
173.586	0	173587	STI101	6144	---
175.293	0	175294	STI101	2	Cue onset
175.293	0	175294	STI002	5	---
175.293	0	175294	Trigger	2	Cue onset
181.842	0	181843	STI101	6144	---
181.843	0	181844	STI101	6152	---
181.843	0	181844	STI004	5	---
181.843	0	181844	Trigger	8	Sound2 onset
190.512	0	190513	STI101	5888	---
190.513	0	190514	STI101	5892	---
190.513	0	190514	STI003	5	---
190.513	0	190514	Trigger	4	Sound1 onset
195.528	0	195529	STI101	16	Probe response
195.528	0	195529	STI005	5	---
195.528	0	195529	Trigger	16	Probe response
223.217	0	223218	STI101	5888	---
225.018	0	225019	STI101	2	Cue onset
225.018	0	225019	STI002	5	---
225.018	0	225019	Trigger	2	Cue onset
232.735	0	232736	STI101	5888	---
232.737	0	232738	STI101	5892	---
232.737	0	232738	STI003	5	---
232.737	0	232738	Trigger	4	Sound1 onset
243.373	0	243374	STI101	6144	---
243.375	0	243376	STI101	6152	---
243.375	0	243376	STI004	5	---
243.375	0	243376	Trigger	8	Sound2 onset
248.49	0	248491	STI101	16	Probe response
248.49	0	248491	STI005	5	---
248.49	0	248491	Trigger	16	Probe response
249.276	0	249277	STI101	5888	---
250.965	0	250966	STI101	2	Cue onset
250.965	0	250966	STI002	5	---
250.965	0	250966	Trigger	2	Cue onset
257.882	0	257883	STI101	5888	---
257.884	0	257885	STI101	5892	---
257.884	0	257885	STI003	5	---
257.884	0	257885	Trigger	4	Sound1 onset
268.128	0	268129	STI101	6144	---
268.13	0	268131	STI101	6152	---
268.13	0	268131	STI004	5	---
268.13	0	268131	Trigger	8	Sound2 onset
273.245	0	273246	STI101	16	Probe response
273.245	0	273246	STI005	5	---
273.245	0	273246	Trigger	16	Probe response
274.282	0	274283	STI101	5888	---
276.086	0	276087	STI101	2	Cue onset
276.086	0	276087	STI002	5	---
276.086	0	276087	Trigger	2	Cue onset
291.779	0	291780	STI101	6144	---
291.78	0	291781	STI101	6152	---
291.78	0	291781	STI004	5	---
291.78	0	291781	Trigger	8	Sound2 onset
301.556	0	301557	STI101	5888	---
301.557	0	301558	STI101	5892	---
301.557	0	301558	STI003	5	---
301.557	0	301558	Trigger	4	Sound1 onset
306.573	0	306574	STI101	16	Probe response
306.573	0	306574	STI005	5	---
306.573	0	306574	Trigger	16	Probe response
307.215	0	307216	STI101	6144	---
308.897	0	308898	STI101	2	Cue onset
308.897	0	308898	STI002	5	---
308.897	0	308898	Trigger	2	Cue onset
316.856	0	316857	STI101	6144	---
316.858	0	316859	STI101	6152	---
316.858	0	316859	STI004	5	---
316.858	0	316859	Trigger	8	Sound2 onset
326.417	0	326418	STI101	5888	---
326.419	0	326420	STI101	5892	---
326.419	0	326420	STI003	5	---
326.419	0	326420	Trigger	4	Sound1 onset
331.435	0	331436	STI101	16	Probe response
331.435	0	331436	STI005	5	---
331.435	0	331436	Trigger	16	Probe response
335.965	0	335966	STI101	5888	---
337.738	0	337739	STI101	2	Cue onset
337.738	0	337739	STI002	5	---
337.738	0	337739	Trigger	2	Cue onset
345.365	0	345366	STI101	5888	---
345.366	0	345367	STI101	5892	---
345.366	0	345367	STI003	5	---
345.366	0	345367	Trigger	4	Sound1 onset
355.593	0	355594	STI101	6144	---
355.594	0	355595	STI101	6152	---
355.594	0	355595	STI004	5	---
355.594	0	355595	Trigger	8	Sound2 onset
360.71	0	360711	STI101	16	Probe response
360.71	0	360711	STI005	5	---
