onset	duration	sample	type	value	event
4.147	0	4148	STI101	5632	---
7.723	0	7724	STI101	1	Movie onset
7.723	0	7724	STI001	5	---
7.723	0	7724	Trigger	1	Movie onset
14.937	0	14938	STI101	5888	---
20.459	0	20460	STI101	1	Movie onset
20.459	0	20460	STI001	5	---
20.459	0	20460	Trigger	1	Movie onset
28.022	0	28023	STI101	5888	---
33.436	0	33437	STI101	1	Movie onset
33.436	0	33437	STI001	5	---
33.436	0	33437	Trigger	1	Movie onset
39.879	0	39880	STI101	6144	---
45.213	0	45214	STI101	1	Movie onset
45.213	0	45214	STI001	5	---
45.213	0	45214	Trigger	1	Movie onset
50.843	0	50844	STI101	6144	---
56.49	0	56491	STI101	1	Movie onset
56.49	0	56491	STI001	5	---
56.49	0	56491	Trigger	1	Movie onset
63.179	0	63180	STI101	5888	---
68.674	0	68675	STI101	1	Movie onset
68.674	0	68675	STI001	5	---
68.674	0	68675	Trigger	1	Movie onset
74.665	0	74666	STI101	6144	---
80.259	0	80260	STI101	1	Movie onset
80.259	0	80260	STI001	5	---
80.259	0	80260	Trigger	1	Movie onset
85.864	0	85865	STI101	5888	---
91.368	0	91369	STI101	1	Movie onset
91.368	0	91369	STI001	5	---
91.368	0	91369	Trigger	1	Movie onset
97.626	0	97627	STI101	5888	---
103.07	0	103071	STI101	1	Movie onset
103.07	0	103071	STI001	5	---
103.07	0	103071	Trigger	1	Movie onset
109.27	0	109271	STI101	5888	---
114.696	0	114697	STI101	1	Movie onset
114.696	0	114697	STI001	5	---
114.696	0	114697	Trigger	1	Movie onset
120.219	0	120220	STI101	6144	---
125.614	0	125615	STI101	1	Movie onset
125.614	0	125615	STI001	5	---
125.614	0	125615	Trigger	1	Movie onset
131.296	0	131297	STI101	5888	---
136.873	0	136874	STI101	1	Movie onset
136.873	0	136874	STI001	5	---
136.873	0	136874	Trigger	1	Movie onset
142.513	0	142514	STI101	6144	---
147.874	0	147875	STI101	1	Movie onset
147.874	0	147875	STI001	5	---
147.874	0	147875	Trigger	1	Movie onset
155.092	0	155093	STI101	5888	---
160.702	0	160703	STI101	1	Movie onset
160.702	0	160703	STI001	5	---
160.702	0	160703	Trigger	1	Movie onset
166.38	0	166381	STI101	5888	---
171.794	0	171795	STI101	1	Movie onset
171.794	0	171795	STI001	5	---
171.794	0	171795	Trigger	1	Movie onset
177.539	0	177540	STI101	5888	---
183.004	0	183005	STI101	1	Movie onset
183.004	0	183005	STI001	5	---
183.004	0	183005	Trigger	1	Movie onset
