onset	duration	sample	type	value	event
9.218	0	9219	STI101	5632	---
18.406	0	18407	STI101	5632	---
20.87	0	20871	STI101	1	Movie onset
20.87	0	20871	STI001	5	---
20.87	0	20871	Trigger	1	Movie onset
32.08	0	32081	STI101	6144	---
37.567	0	37568	STI101	1	Movie onset
37.567	0	37568	STI001	5	---
37.567	0	37568	Trigger	1	Movie onset
43.032	0	43033	STI101	6144	---
48.451	0	48452	STI101	1	Movie onset
48.451	0	48452	STI001	5	---
48.451	0	48452	Trigger	1	Movie onset
53.878	0	53879	STI101	6144	---
59.494	0	59495	STI101	1	Movie onset
59.494	0	59495	STI001	5	---
59.494	0	59495	Trigger	1	Movie onset
65.058	0	65059	STI101	5888	---
70.453	0	70454	STI101	1	Movie onset
70.453	0	70454	STI001	5	---
70.453	0	70454	Trigger	1	Movie onset
76.14	0	76141	STI101	6144	---
81.671	0	81672	STI101	1	Movie onset
81.671	0	81672	STI001	5	---
81.671	0	81672	Trigger	1	Movie onset
87.422	0	87423	STI101	6144	---
92.731	0	92732	STI101	1	Movie onset
92.731	0	92732	STI001	5	---
92.731	0	92732	Trigger	1	Movie onset
98.761	0	98762	STI101	6144	---
104.115	0	104116	STI101	1	Movie onset
104.115	0	104116	STI001	5	---
104.115	0	104116	Trigger	1	Movie onset
109.633	0	109634	STI101	5888	---
115.149	0	115150	STI101	1	Movie onset
115.149	0	115150	STI001	5	---
115.149	0	115150	Trigger	1	Movie onset
121.02	0	121021	STI101	5888	---
126.409	0	126410	STI101	1	Movie onset
126.409	0	126410	STI001	5	---
126.409	0	126410	Trigger	1	Movie onset
132.055	0	132056	STI101	5888	---
137.443	0	137444	STI101	1	Movie onset
137.443	0	137444	STI001	5	---
137.443	0	137444	Trigger	1	Movie onset
143.512	0	143513	STI101	5888	---
149.078	0	149079	STI101	1	Movie onset
149.078	0	149079	STI001	5	---
149.078	0	149079	Trigger	1	Movie onset
154.631	0	154632	STI101	6144	---
160.045	0	160046	STI101	1	Movie onset
160.045	0	160046	STI001	5	---
160.045	0	160046	Trigger	1	Movie onset
167.207	0	167208	STI101	5888	---
172.756	0	172757	STI101	1	Movie onset
172.756	0	172757	STI001	5	---
172.756	0	172757	Trigger	1	Movie onset
178.171	0	178172	STI101	6144	---
183.757	0	183758	STI101	1	Movie onset
183.757	0	183758	STI001	5	---
183.757	0	183758	Trigger	1	Movie onset
189.428	0	189429	STI101	5888	---
194.758	0	194759	STI101	1	Movie onset
