onset	duration	sample	type	value	event
29.413	0	29414	STI101	5632	---
34.832	0	34833	STI101	1	Movie onset
34.832	0	34833	STI001	5	---
34.832	0	34833	Trigger	1	Movie onset
41.749	0	41750	STI101	5888	---
47.392	0	47393	STI101	1	Movie onset
47.392	0	47393	STI001	5	---
47.392	0	47393	Trigger	1	Movie onset
53.261	0	53262	STI101	5888	---
58.685	0	58686	STI101	1	Movie onset
58.685	0	58686	STI001	5	---
58.685	0	58686	Trigger	1	Movie onset
64.413	0	64414	STI101	6144	---
70.078	0	70079	STI101	1	Movie onset
70.078	0	70079	STI001	5	---
70.078	0	70079	Trigger	1	Movie onset
76.144	0	76145	STI101	5888	---
81.771	0	81772	STI101	1	Movie onset
81.771	0	81772	STI001	5	---
81.771	0	81772	Trigger	1	Movie onset
88.472	0	88473	STI101	5888	---
94.114	0	94115	STI101	1	Movie onset
94.114	0	94115	STI001	5	---
94.114	0	94115	Trigger	1	Movie onset
99.947	0	99948	STI101	5888	---
105.49	0	105491	STI101	1	Movie onset
105.49	0	105491	STI001	5	---
105.49	0	105491	Trigger	1	Movie onset
111.679	0	111680	STI101	5888	---
117.267	0	117268	STI101	1	Movie onset
117.267	0	117268	STI001	5	---
117.267	0	117268	Trigger	1	Movie onset
123.279	0	123280	STI101	5888	---
128.827	0	128828	STI101	1	Movie onset
128.827	0	128828	STI001	5	---
128.827	0	128828	Trigger	1	Movie onset
134.523	0	134524	STI101	5888	---
140.103	0	140104	STI101	1	Movie onset
140.103	0	140104	STI001	5	---
140.103	0	140104	Trigger	1	Movie onset
145.725	0	145726	STI101	5888	---
151.271	0	151272	STI101	1	Movie onset
151.271	0	151272	STI001	5	---
151.271	0	151272	Trigger	1	Movie onset
157.427	0	157428	STI101	5888	---
163.031	0	163032	STI101	1	Movie onset
163.031	0	163032	STI001	5	---
163.031	0	163032	Trigger	1	Movie onset
168.626	0	168627	STI101	5888	---
174.132	0	174133	STI101	1	Movie onset
174.132	0	174133	STI001	5	---
174.132	0	174133	Trigger	1	Movie onset
179.575	0	179576	STI101	5888	---
185.174	0	185175	STI101	1	Movie onset
185.174	0	185175	STI001	5	---
185.174	0	185175	Trigger	1	Movie onset
191.201	0	191202	STI101	5888	---
196.801	0	196802	STI101	1	Movie onset
196.801	0	196802	STI001	5	---
196.801	0	196802	Trigger	1	Movie onset
202.361	0	202362	STI101	5888	---
207.902	0	207903	STI101	1	Movie onset
207.902	0	207903	STI001	5	---
207.902	0	207903	Trigger	1	Movie onset
213.597	0	213598	STI101	5888	---
219.54	0	219541	STI101	5632	---
223.159	0	223160	STI101	5888	---
224.626	0	224627	STI101	5888	---
225.901	0	225902	STI101	6144	---
227.403	0	227404	STI101	5888	---
229.07	0	229071	STI101	6144	---
230.267	0	230268	STI101	6144	---
231.399	0	231400	STI101	6144	---
232.551	0	232552	STI101	6144	---
233.549	0	233550	STI101	6144	---
234.681	0	234682	STI101	5888	---
235.671	0	235672	STI101	5888	---
236.688	0	236689	STI101	5888	---
237.795	0	237796	STI101	5888	---
238.809	0	238810	STI101	5888	---
239.952	0	239953	STI101	6144	---
241.019	0	241020	STI101	5888	---
242.21	0	242211	STI101	6144	---
243.271	0	243272	STI101	6144	---
244.287	0	244288	STI101	6144	---
245.302	0	245303	STI101	6144	---
248.086	0	248087	STI101	5632	---
250.703	0	250704	STI101	5632	---
252.34	0	252341	STI101	2	Cue onset
252.34	0	252341	STI002	5	---
252.34	0	252341	Trigger	2	Cue onset
256.127	0	256128	STI101	5888	---
257.976	0	257977	STI101	5888	---
257.977	0	257978	STI101	5892	---
257.977	0	257978	STI003	5	---
257.977	0	257978	Trigger	4	Sound1 onset
263.197	0	263198	STI101	6144	---
263.198	0	263199	STI101	6152	---
263.198	0	263199	STI004	5	---
263.198	0	263199	Trigger	8	Sound2 onset
268.315	0	268316	STI101	16	Probe response
268.315	0	268316	STI005	5	---
